index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.261255,-1.58551,1.23003,-1.02319,-0.698642,-2.03628,-0,-0,0,-0,0,0,0,0,0,0,0,0
1,0.1,-0.262771,-1.5878,1.23503,-1.02534,-0.697517,-2.035,-0.0303213,-0.0458757,0.1,-0.0429845,0.0225011,0.0255833,-0.303213,-0.458757,1,-0.429845,0.225011,0.255833
2,0.2,-0.267329,-1.59468,1.25003,-1.03178,-0.694136,-2.03115,-0.0610804,-0.0918145,0.199999,-0.0856425,0.0452511,0.051775,-0.314576,-0.460395,0.999976,-0.421375,0.231469,0.271622
3,0.3,-0.275036,-1.60617,1.27503,-1.04243,-0.688439,-2.02457,-0.0933392,-0.137978,0.299995,-0.127151,0.0688432,0.0800917,-0.331774,-0.463088,0.999972,-0.407789,0.240993,0.296536
4,0.4,-0.286065,-1.62229,1.31003,-1.05716,-0.680331,-2.01503,-0.127628,-0.184486,0.399989,-0.166944,0.0935253,0.111492,-0.355382,-0.467437,0.999969,-0.386538,0.25327,0.334055
5,0.5,-0.300651,-1.64308,1.35502,-1.07574,-0.669689,-2.00213,-0.164594,-0.231526,0.499982,-0.204166,0.119553,0.147345,-0.385382,-0.473787,0.999961,-0.356138,0.267912,0.385923
6,0.6,-0.319091,-1.66862,1.41002,-1.09787,-0.656372,-1.98535,-0.204805,-0.27936,0.599972,-0.237651,0.147044,0.189352,-0.420701,-0.48338,0.999935,-0.311443,0.282768,0.457706
7,0.7,-0.341329,-1.69846,1.47387,-1.12265,-0.640522,-1.96437,-0.224537,-0.296544,0.632202,-0.240179,0.158852,0.216255,0.269434,0.445379,-1.00008,0.490433,-0.215366,-0.166157
8,0.8,-0.362367,-1.72587,1.53209,-1.14429,-0.625747,-1.9437,-0.195563,-0.251599,0.53221,-0.193131,0.136315,0.196191,0.307969,0.453502,-1.00008,0.451562,-0.234057,-0.232955
9,0.9,-0.380326,-1.74875,1.58031,-1.16141,-0.613312,-1.92535,-0.163105,-0.205843,0.432215,-0.149921,0.112172,0.169703,0.339134,0.46175,-1.00008,0.412943,-0.247384,-0.295373
10,1,-0.394896,-1.76701,1.61853,-1.1744,-0.603348,-1.90996,-0.127915,-0.159246,0.332193,-0.110535,0.0869641,0.137234,0.362817,0.469987,-1.00007,0.375229,-0.255601,-0.352148
11,1.1,-0.40584,-1.78057,1.64675,-1.18363,-0.595941,-1.89808,-0.0906886,-0.111885,0.232167,-0.0746121,0.0610994,0.099638,0.379961,0.476905,-1.00006,0.343896,-0.260665,-0.397647
12,1.2,-0.412988,-1.78937,1.66497,-1.18941,-0.59114,-1.89016,-0.0520946,-0.0639235,0.132165,-0.041446,0.034884,0.0581477,0.390731,0.481963,-1.00003,0.321239,-0.263217,-0.429404
13,1.3,-0.416228,-1.79334,1.67318,-1.19199,-0.588971,-1.88654,-0.012684,-0.0155595,0.0321635,-0.0100722,0.00849065,0.0141701,0.394359,0.483761,-1,0.313157,-0.263984,-0.440564
14,1.33216,-0.416432,-1.79359,1.6737,-1.19215,-0.588835,-1.88631,1.6154e-17,1.98161e-17,-4.09627e-17,1.28277e-17,-1.08135e-17,-1.80467e-17,0.394359,0.483761,-1,0.313157,-0.263984,-0.440564
