index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.261292,-1.58695,1.2337,-1.01925,-0.698074,-2.03866,-0,-0,0,-0,0,0,0,0,0,0,0,0
1,0.1,-0.262816,-1.58925,1.2387,-1.0214,-0.696941,-2.03736,-0.0304798,-0.0460376,0.1,-0.0431556,0.0226607,0.0260854,-0.304798,-0.460376,1,-0.431556,0.226607,0.260854
2,0.2,-0.267398,-1.59616,1.2537,-1.02787,-0.693536,-2.03343,-0.0614006,-0.0921395,0.199998,-0.0859861,0.0455688,0.0527905,-0.316231,-0.46206,0.999989,-0.423157,0.233024,0.276912
3,0.3,-0.275145,-1.60768,1.2787,-1.03856,-0.6878,-2.02673,-0.0938215,-0.13847,0.299994,-0.127683,0.0693082,0.0816442,-0.333438,-0.464791,0.999982,-0.409746,0.242419,0.3021
4,0.4,-0.28623,-1.62386,1.3137,-1.05335,-0.679638,-2.017,-0.128275,-0.18515,0.399988,-0.167683,0.0941213,0.113617,-0.357037,-0.469157,0.999964,-0.38879,0.254478,0.33995
5,0.5,-0.30089,-1.64473,1.3587,-1.07202,-0.668931,-2.00386,-0.165408,-0.232363,0.49998,-0.205145,0.120255,0.150089,-0.387045,-0.475493,0.999937,-0.358822,0.268816,0.392237
6,0.6,-0.31942,-1.67036,1.4137,-1.09426,-0.65554,-1.98678,-0.205794,-0.280368,0.59997,-0.238914,0.147816,0.192774,-0.422627,-0.485058,0.999981,-0.31464,0.283358,0.464849
7,0.7,-0.342173,-1.70084,1.4787,-1.11962,-0.639322,-1.96502,-0.249945,-0.329538,0.699957,-0.26731,0.176735,0.243958,-0.462095,-0.499391,0.999864,-0.248889,0.295184,0.564924
8,0.8,-0.369549,-1.73633,1.55369,-1.14746,-0.620158,-1.9376,-0.298285,-0.380452,0.799939,-0.287773,0.206687,0.306834,-0.506522,-0.520227,0.999993,-0.154897,0.303849,0.699936
9,0.9,-0.401977,-1.77702,1.63868,-1.17678,-0.597976,-1.90312,-0.351036,-0.434035,0.899912,-0.296265,0.236904,0.385988,-0.549684,-0.555026,0.999873,-0.000761085,0.298301,0.899037
10,1,-0.439829,-1.82318,1.73348,-1.20604,-0.572863,-1.85972,-0.404264,-0.487108,0.990173,-0.283389,0.263428,0.483629,-0.453869,-0.442118,0.664953,0.316389,0.188768,1.00033
11,1.1,-0.481533,-1.87299,1.83341,-1.23182,-0.54628,-1.80725,-0.426196,-0.505612,1,-0.227109,0.265294,0.564236,-0.172345,-0.161526,0.000110886,0.683194,-0.0304992,0.843654
12,1.2,-0.524351,-1.92369,1.93196,-1.25057,-0.520359,-1.74726,-0.418719,-0.496217,0.946191,-0.141567,0.245884,0.62116,0.29924,0.322006,-0.999969,0.960564,-0.333491,0.277447
13,1.3,-0.564635,-1.97171,2.02158,-1.25998,-0.497483,-1.68393,-0.386138,-0.464296,0.846251,-0.047372,0.211284,0.643726,0.349215,0.320289,-1.00006,0.912489,-0.354514,0.166008
14,1.4,-0.601432,-2.01653,2.10121,-1.26028,-0.478146,-1.61896,-0.349149,-0.431981,0.746277,0.0396009,0.175357,0.653216,0.388792,0.329064,-1.00019,0.817976,-0.361419,0.0169942
15,1.5,-0.635652,-2.05914,2.17409,-1.25185,-0.462635,-1.54965,-0.344149,-0.436211,0.726283,0.132083,0.144332,0.741525,0.0034551,-0.199522,-0.162644,1.0006,-0.215802,0.875328
16,1.6,-0.669527,-2.10322,2.24484,-1.23364,-0.449565,-1.47209,-0.330525,-0.442811,0.683334,0.232021,0.115418,0.804621,0.196582,-0.0169659,-0.542423,1.00005,-0.32739,0.520276
17,1.7,-0.701545,-2.14759,2.3104,-1.20545,-0.439718,-1.38912,-0.309519,-0.444943,0.627695,0.331905,0.0809817,0.854157,0.214063,-0.0393548,-0.549025,1.00009,-0.360643,0.492484
18,1.8,-0.731408,-2.19231,2.37043,-1.16726,-0.433476,-1.30126,-0.287743,-0.450117,0.573308,0.431806,0.0432545,0.903475,0.221427,-0.0656142,-0.537377,1.00018,-0.397375,0.499752
19,1.9,-0.759095,-2.23774,2.42518,-1.11909,-0.431215,-1.2083,-0.265983,-0.459053,0.522418,0.531714,0.00102041,0.956704,0.217855,-0.109123,-0.485947,1.00003,-0.454445,0.567986
20,2,-0.784527,-2.28412,2.47493,-1.06106,-0.433508,-1.1099,-0.239452,-0.463078,0.467537,0.6206,-0.0477185,1,0.377383,0.168175,-0.724445,0.557107,-0.502776,4.17298e-05
21,2.1,-0.806609,-2.32957,2.51824,-0.99648,-0.44082,-1.0099,-0.202341,-0.445596,0.400395,0.667973,-0.099019,1,0.368639,0.186051,-0.619793,0.385325,-0.528917,0.000107867
22,2.2,-0.8249,-2.37291,2.55518,-0.928458,-0.453378,-0.910406,-0.159825,-0.411388,0.332867,0.674007,-0.149468,0.968278,0.528217,0.646967,-0.833561,-0.530942,-0.400716,-0.999526
23,2.3,-0.838386,-2.41086,2.58464,-0.864025,-0.470132,-0.818579,-0.111176,-0.347795,0.259437,0.611603,-0.183872,0.868275,0.451771,0.628924,-0.643148,-0.71381,-0.296693,-0.999548
24,2.4,-0.847379,-2.44256,2.60761,-0.80659,-0.489799,-0.736745,-0.0698715,-0.286708,0.202271,0.535463,-0.207615,0.768336,0.376815,0.592561,-0.508598,-0.799287,-0.180714,-0.999574
25,2.5,-0.852602,-2.46833,2.62548,-0.757121,-0.511269,-0.66491,-0.035812,-0.22966,0.156734,0.453498,-0.219822,0.668392,0.304055,0.545915,-0.40944,-0.828001,-0.0625071,-0.999613
26,2.6,-0.8548,-2.48867,2.63924,-0.715885,-0.533343,-0.603068,-0.00945556,-0.178137,0.119735,0.371605,-0.21952,0.568475,0.22207,0.482865,-0.335158,-0.802502,0.0697706,-0.999708
27,2.7,-0.854769,-2.50418,2.64964,-0.682672,-0.55473,-0.551221,0.00869295,-0.133118,0.0892722,0.293514,-0.206039,0.468474,0.140603,0.416577,-0.277074,-0.754425,0.199157,-0.999813
28,2.8,-0.853341,-2.51553,2.65727,-0.656984,-0.574114,-0.509373,0.0184993,-0.0949936,0.0640585,0.221274,-0.179558,0.368479,0.0582879,0.348099,-0.229602,-0.691364,0.325728,-0.99992
29,2.9,-0.85133,-2.5234,2.6626,-0.638207,-0.590245,-0.477525,0.0205218,-0.0633567,0.0431061,0.15527,-0.141255,0.268482,-0.0150239,0.287015,-0.191352,-0.630562,0.435624,-0.999995
30,3,-0.849453,-2.52838,2.666,-0.625748,-0.602044,-0.455677,0.0161034,-0.0370826,0.0254481,0.0946812,-0.093367,0.168482,-0.0698475,0.241428,-0.163764,-0.584032,0.516647,-1.00002
31,3.1,-0.848265,-2.53094,2.66776,-0.619137,-0.60869,-0.443829,0.00701205,-0.0146856,0.0101128,0.0380836,-0.0386301,0.0684801,-0.102395,0.214451,-0.147676,-0.556126,0.564107,-1
32,3.16848,-0.848025,-2.53144,2.66811,-0.617833,-0.610013,-0.441484,-1.64564e-17,3.44653e-17,-2.37336e-17,-8.93774e-17,9.06601e-17,-1.60714e-16,-0.102395,0.214451,-0.147676,-0.556126,0.564107,-1
