index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.15295,-0.958627,-0.889852,0.830578,-0.838225,-1.17697,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.155139,-0.954416,-0.902352,0.8419,-0.8376,-1.17265,-0.0438741,0.0841004,-0.249994,0.226702,0.012491,0.0866228,-0.453408,0.827204,-2.49981,2.30289,0.126314,0.89736
2,0.2,-0.161882,-0.941961,-0.939849,0.876316,-0.835718,-1.15929,-0.0919759,0.163887,-0.499942,0.464451,0.025045,0.183144,-0.513811,0.759354,-2.49779,2.47195,0.121463,1.05428
3,0.3,-0.173799,-0.921958,-1.00234,0.93558,-0.832636,-1.13529,-0.148088,0.234005,-0.749844,0.726134,0.0362373,0.301739,-0.617634,0.628537,-2.49983,2.7946,0.0977825,1.34763
4,0.4,-0.191917,-0.89575,-1.08978,1.02289,-0.828609,-1.0977,-0.216273,0.285669,-0.996583,1.0265,0.0430369,0.457066,-0.726989,0.344561,-2.30328,3.12526,0.0196137,1.74214
5,0.5,-0.217213,-0.866255,-1.19988,1.14116,-0.824472,-1.04278,-0.289845,0.295707,-1.19412,1.33884,0.0365363,0.646881,-0.74049,-0.162703,-1.6274,3.12565,-0.16604,2.06899
6,0.6,-0.249833,-0.838453,-1.3262,1.29067,-0.822162,-0.967121,-0.36176,0.250438,-1.31953,1.65132,0.00394175,0.872858,-0.691145,-0.756883,-0.865056,3.12526,-0.509957,2.46687
7,0.7,-0.289263,-0.81823,-1.46119,1.47142,-0.825214,-0.866705,-0.424546,0.143363,-1.3669,1.96384,-0.075139,1.14421,-0.550827,-1.39543,-0.0692945,3.12484,-1.12504,2.99384
8,0.8,-0.331128,-0.811792,-1.58847,1.66911,-0.83852,-0.745376,-0.399743,-0.0132481,-1.15016,1.93895,-0.193855,1.25325,0.47351,-1.46047,2.5009,-1.04097,-1.28957,0.641138
9,0.9,-0.368285,-0.819735,-1.69101,1.85641,-0.864694,-0.61763,-0.339054,-0.138531,-0.900623,1.7925,-0.332204,1.29318,0.736312,-1.03363,2.50169,-1.92143,-1.44832,0.131356
10,1,-0.398105,-0.837828,-1.76859,2.02425,-0.90505,-0.488892,-0.253519,-0.213734,-0.651002,1.54519,-0.472154,1.26766,0.964706,-0.456448,2.50302,-3.07096,-1.27311,-0.714302
11,1.1,-0.418658,-0.860668,-1.82192,2.16308,-0.958252,-0.366156,-0.158436,-0.23628,-0.423273,1.2312,-0.589067,1.18554,0.924292,-0.0398065,2.06354,-3.12643,-1.11433,-0.824953
12,1.2,-0.430058,-0.883983,-1.85454,2.2706,-1.02217,-0.252007,-0.071278,-0.225355,-0.234275,0.919344,-0.684096,1.09509,0.820382,0.240716,1.75151,-3.12752,-0.799078,-0.969923
13,1.3,-0.433395,-0.90493,-1.86973,2.34694,-1.09343,-0.148091,0.00112798,-0.189772,-0.0747622,0.607372,-0.727571,0.973813,0.609972,0.472933,1.432,-3.12985,0.0464073,-1.57092
14,1.4,-0.43095,-0.920919,-1.87111,2.39187,-1.16198,-0.0621152,0.0387616,-0.123357,0.032637,0.292701,-0.594283,0.701807,0.054749,0.919024,0.535914,-3.13781,3.23812,-4.48338
15,1.5,-0.427709,-0.928853,-1.86726,2.40855,-1.20287,-0.0152522,0.0204193,-0.040141,0.029243,0.0725416,-0.221588,0.246832,-0.316347,0.709238,-0.405043,-1.41717,3.74841,-4.24816
16,1.5591,-0.427096,-0.93003,-1.86636,2.41063,-1.20942,-0.00798179,-9.45817e-18,1.79897e-17,-1.38769e-17,-3.15745e-17,1.00459e-16,-1.11401e-16,-0.35306,0.671527,-0.518005,-1.17863,3.75,-4.15845
