index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.227177,-0.832171,-0.673198,0.175902,-0.699651,-1.9935,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.229049,-0.827184,-0.685698,0.184787,-0.698117,-1.99082,-0.0374338,0.0997457,-0.25,0.177696,0.0306821,0.0536238,-0.374338,0.997457,-2.5,1.77696,0.306821,0.536238
2,0.2,-0.234771,-0.812281,-0.723197,0.211607,-0.693436,-1.98257,-0.0782225,0.197634,-0.499976,0.360599,0.0638126,0.113465,-0.443729,0.95912,-2.49968,1.88473,0.357465,0.66482
3,0.3,-0.244943,-0.78781,-0.785692,0.257332,-0.685179,-1.96763,-0.126859,0.290721,-0.749924,0.556829,0.102462,0.188836,-0.539222,0.896938,-2.49953,2.05635,0.4229,0.861899
4,0.4,-0.260505,-0.754407,-0.873181,0.323706,-0.672711,-1.94399,-0.186592,0.375558,-0.999836,0.775499,0.148254,0.289278,-0.66821,0.791229,-2.49946,2.34208,0.501371,1.17472
5,0.5,-0.282724,-0.713154,-0.985658,0.413646,-0.655282,-1.90849,-0.260396,0.446523,-1.24969,1.03117,0.201518,0.428877,-0.818457,0.609921,-2.49897,2.8213,0.565501,1.66493
6,0.6,-0.313076,-0.665968,-1.12286,0.531757,-0.632272,-1.85627,-0.347319,0.489219,-1.48521,1.33602,0.257502,0.624253,-0.860795,0.13652,-1.96691,3.12501,0.496109,2.1972
7,0.7,-0.351895,-0.61749,-1.27954,0.68097,-0.604443,-1.78221,-0.426288,0.468499,-1.63088,1.64828,0.294253,0.863771,-0.693904,-0.570845,-0.921347,3.1256,0.206805,2.5947
8,0.8,-0.397575,-0.574676,-1.44549,0.86142,-0.574642,-1.68228,-0.482659,0.375942,-1.67092,1.96074,0.294479,1.14014,-0.41251,-1.27772,0.112522,3.12531,-0.234536,2.91949
9,0.9,-0.446697,-0.544815,-1.60825,1.06992,-0.54753,-1.55526,-0.48289,0.209086,-1.53479,2.15326,0.234302,1.36731,0.374414,-1.87514,2.35418,0.692531,-0.91192,1.50494
10,1,-0.492637,-0.533019,-1.74935,1.28688,-0.529072,-1.4124,-0.433204,0.0312129,-1.28767,2.175,0.131901,1.48034,0.544227,-1.6313,2.36747,0.00141688,-1.09249,0.924781
11,1.1,-0.532985,-0.537081,-1.86731,1.50438,-0.521993,-1.26209,-0.377418,-0.110662,-1.07951,2.175,0.0129591,1.54453,0.510738,-1.30487,1.84996,0.000286021,-1.19358,0.85707
12,1.2,-0.568172,-0.554099,-1.96686,1.72188,-0.527039,-1.10327,-0.326049,-0.224442,-0.919277,2.175,-0.118214,1.63332,0.527282,-0.993771,1.38862,8.5379e-05,-1.44907,0.939396
13,1.3,-0.597391,-0.580258,-2.05091,1.93456,-0.546276,-0.938717,-0.248048,-0.281372,-0.742738,2.00149,-0.261297,1.59807,0.946161,-0.137239,1.9391,-3.12534,-1.29912,-1.46185
14,1.4,-0.617604,-0.608356,-2.11652,2.1191,-0.578533,-0.786486,-0.157216,-0.274072,-0.578603,1.68926,-0.380719,1.4443,0.893106,0.258118,1.38693,-3.12636,-1.12989,-1.58715
15,1.5,-0.629001,-0.634081,-2.16797,2.27242,-0.621715,-0.650272,-0.0717032,-0.23678,-0.454929,1.37715,-0.47843,1.27778,0.834694,0.476444,1.11556,-3.12743,-0.859302,-1.72068
16,1.6,-0.632227,-0.655178,-2.2081,2.39453,-0.673055,-0.531466,0.00502554,-0.18336,-0.349343,1.06506,-0.54064,1.09476,0.693323,0.581825,1.01998,-3.12897,-0.365379,-1.959
17,1.7,-0.628675,-0.670538,-2.23798,2.48543,-0.727709,-0.432413,0.0611003,-0.123446,-0.248386,0.75288,-0.538172,0.878194,0.388292,0.601817,1.0143,-3.13127,0.516354,-2.46517
18,1.8,-0.621394,-0.679941,-2.25773,2.5451,-0.776865,-0.358215,0.0755255,-0.0657244,-0.146166,0.440423,-0.420723,0.589398,-0.142789,0.538862,1.03478,-3.13335,1.94637,-3.42431
19,1.9,-0.615606,-0.684009,-2.26716,2.5735,-0.806431,-0.318398,0.0302919,-0.0174556,-0.0424068,0.127618,-0.144213,0.187421,-0.741764,0.427438,1.03842,-3.125,3.53136,-4.58942
20,1.94084,-0.614987,-0.684366,-2.26803,2.57611,-0.809376,-0.314571,-1.78173e-17,1.02671e-17,2.49431e-17,-7.5063e-17,8.48239e-17,-1.10239e-16,-0.741764,0.427438,1.03842,-3.125,3.53136,-4.58942
