index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.156049,-0.969622,-0.861341,0.796143,-0.831675,-1.19962,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.158173,-0.965385,-0.873841,0.807357,-0.831024,-1.19544,-0.0425623,0.0846478,-0.249995,0.224485,0.0130242,0.0838426,-0.438674,0.832538,-2.49985,2.28067,0.130212,0.871271
2,0.2,-0.164705,-0.952848,-0.911339,0.841438,-0.829071,-1.18249,-0.0890878,0.164992,-0.499945,0.459954,0.0259847,0.177752,-0.499312,0.766002,-2.49999,2.45107,0.128329,1.02686
3,0.3,-0.176257,-0.932701,-0.973829,0.900132,-0.825853,-1.15917,-0.143634,0.23582,-0.749847,0.719147,0.0380996,0.293256,-0.600631,0.636065,-2.49961,2.76852,0.108883,1.3144
4,0.4,-0.193847,-0.906264,-1.06129,0.986626,-0.821568,-1.1226,-0.210258,0.288674,-0.997434,1.01757,0.0465475,0.445278,-0.713537,0.360052,-2.32783,3.12501,0.0382287,1.71665
5,0.5,-0.218484,-0.876386,-1.17159,1.104,-0.816955,-1.06899,-0.282708,0.300414,-1.19734,1.3299,0.0427496,0.632348,-0.72555,-0.151941,-1.64275,3.12525,-0.141486,2.04245
6,0.6,-0.250341,-0.848041,-1.29831,1.25261,-0.813831,-0.994941,-0.353623,0.25657,-1.32433,1.64238,0.0143502,0.855052,-0.681209,-0.744962,-0.875549,3.12505,-0.458975,2.42934
7,0.7,-0.288914,-0.827142,-1.43383,1.43248,-0.815525,-0.896534,-0.4156,0.150743,-1.37264,1.9549,-0.0577096,1.12134,-0.539277,-1.38291,-0.0789311,3.12483,-1.04629,2.93134
8,0.8,-0.330088,-0.819969,-1.56216,1.63013,-0.826759,-0.777213,-0.393755,-0.0066917,-1.16059,1.94091,-0.169662,1.23225,0.452943,-1.47837,2.50088,-0.994304,-1.2151,0.616952
9,0.9,-0.366764,-0.827354,-1.66574,1.81785,-0.850082,-0.651761,-0.335535,-0.133969,-0.911007,1.79859,-0.298779,1.2675,0.703845,-1.05615,2.5017,-1.88481,-1.32398,0.0517113
10,1,-0.396382,-0.845071,-1.74436,1.98638,-0.886444,-0.526113,-0.253105,-0.210513,-0.661358,1.5518,-0.424575,1.22977,0.935759,-0.457297,2.50302,-3.10216,-1.11614,-0.878996
11,1.1,-0.417124,-0.867616,-1.79888,2.12595,-0.933935,-0.408019,-0.162906,-0.233318,-0.437513,1.23967,-0.520707,1.12877,0.863358,-0.0314053,2.00678,-3.12642,-0.80661,-1.12326
12,1.2,-0.429283,-0.890511,-1.83328,2.23424,-0.989288,-0.301289,-0.0825437,-0.219429,-0.257097,0.92651,-0.577855,1.00026,0.733122,0.28697,1.61861,-3.12779,-0.298114,-1.47063
13,1.3,-0.434239,-0.910529,-1.85157,2.31123,-1.04694,-0.209876,-0.0206538,-0.176117,-0.115619,0.61298,-0.556569,0.813183,0.486274,0.573857,1.19608,-3.13004,0.816896,-2.35319
14,1.4,-0.434502,-0.924721,-1.85814,2.35689,-1.09534,-0.143058,0.00864655,-0.101922,-0.0262842,0.300171,-0.37587,0.491816,0.083644,0.919332,0.561452,-3.1318,2.93315,-4.22093
15,1.5,-0.433953,-0.929987,-1.8589,2.372,-1.11572,-0.117092,-0.0194843,-0.00345079,0.0273569,0.0392309,-0.0713033,0.0603997,-1.91764,1.08373,2.49578,-0.376803,-0.746995,-1.60394
16,1.6,-0.443198,-0.924711,-1.84687,2.37003,-1.11909,-0.125098,-0.176942,0.110229,0.228873,-0.0652355,-0.0238439,-0.202265,-1.93275,1.20404,2.5,-0.712572,-0.260449,-2.20936
17,1.7,-0.470556,-0.907668,-1.81148,2.35994,-1.12278,-0.156371,-0.370217,0.230633,0.478873,-0.136493,-0.0498888,-0.423201,-1.93275,1.20404,2.5,-0.712572,-0.260449,-2.20936
18,1.8,-0.517241,-0.878584,-1.7511,2.34273,-1.12907,-0.209738,-0.563492,0.351038,0.728873,-0.20775,-0.0759337,-0.644137,-1.93275,1.20404,2.5,-0.712572,-0.260449,-2.20936
19,1.9,-0.583254,-0.83746,-1.66571,2.31839,-1.13796,-0.285198,-0.756767,0.471442,0.978873,-0.279007,-0.101979,-0.865073,-1.93275,1.20404,2.5,-0.712572,-0.260449,-2.20936
20,2,-0.668595,-0.784296,-1.55532,2.28693,-1.14946,-0.382752,-0.950042,0.591846,1.22887,-0.350265,-0.128023,-1.08601,-1.93275,1.20404,2.5,-0.712572,-0.260449,-2.20936
21,2.1,-0.773263,-0.719091,-1.41994,2.24834,-1.16357,-0.5024,-1.14332,0.71225,1.47887,-0.421522,-0.154068,-1.30694,-1.93275,1.20404,2.5,-0.712572,-0.260449,-2.20936
