index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.76954,-0.380333,0.136679,0.725419,0.627899,0.106422,0.261122,0,0
1,0.769532,-0.377437,0.136673,0.72159,0.631791,0.105583,0.262679,0.00289596,0.00289596
2,0.769523,-0.374541,0.136667,0.717731,0.635668,0.10474,0.264231,0.00289596,0.00579191
3,0.769514,-0.371645,0.13666,0.713842,0.639531,0.103892,0.265775,0.00289596,0.00868787
4,0.769505,-0.368749,0.136654,0.709923,0.643378,0.103039,0.267314,0.00289596,0.0115838
5,0.769496,-0.365853,0.136648,0.705975,0.64721,0.102181,0.268846,0.00289596,0.0144798
6,0.769487,-0.362957,0.136642,0.701998,0.651025,0.101319,0.270371,0.00289596,0.0173757
7,0.769478,-0.360061,0.136636,0.697991,0.654824,0.100452,0.271889,0.00289596,0.0202717
8,0.76947,-0.357165,0.136629,0.693956,0.658606,0.0995804,0.2734,0.00289596,0.0231677
9,0.769461,-0.354269,0.136623,0.689893,0.66237,0.0987046,0.274903,0.00289596,0.0260636
10,0.769452,-0.351373,0.136617,0.685801,0.666116,0.0978244,0.276399,0.00289596,0.0289596
11,0.769443,-0.348477,0.136611,0.681682,0.669844,0.09694,0.277887,0.00289596,0.0318555
12,0.769434,-0.345581,0.136604,0.677536,0.673552,0.0960513,0.279368,0.00289596,0.0347515
13,0.769425,-0.342686,0.136598,0.673363,0.677242,0.0951586,0.28084,0.00289596,0.0376474
14,0.769416,-0.33979,0.136592,0.669163,0.680912,0.0942618,0.282304,0.00289596,0.0405434
15,0.769408,-0.336894,0.136586,0.664936,0.684561,0.093361,0.283759,0.00289596,0.0434394
16,0.769399,-0.333998,0.136579,0.660684,0.68819,0.0924564,0.285207,0.00289596,0.0463353
17,0.76939,-0.331102,0.136573,0.656406,0.691798,0.0915481,0.286645,0.00289596,0.0492313
18,0.769381,-0.328206,0.136567,0.652104,0.695384,0.090636,0.288074,0.00289596,0.0521272
19,0.769372,-0.32531,0.136561,0.647776,0.698949,0.0897203,0.289494,0.00289596,0.0550232
20,0.769363,-0.322414,0.136554,0.643424,0.702491,0.0888011,0.290905,0.00289596,0.0579191
21,0.769354,-0.319518,0.136548,0.639049,0.706011,0.0878784,0.292307,0.00289596,0.0608151
22,0.769346,-0.316622,0.136542,0.634649,0.709507,0.0869524,0.293699,0.00289596,0.0637111
23,0.769337,-0.313726,0.136536,0.630227,0.71298,0.0860232,0.295081,0.00289596,0.066607
24,0.769328,-0.31083,0.13653,0.625782,0.71643,0.0850909,0.296454,0.00289596,0.069503
25,0.769319,-0.307934,0.136523,0.621315,0.719855,0.0841554,0.297816,0.00289596,0.0723989
26,0.76931,-0.305038,0.136517,0.616827,0.723255,0.083217,0.299168,0.00289596,0.0752949
27,0.769301,-0.302142,0.136511,0.612317,0.726631,0.0822758,0.30051,0.00289596,0.0781908
28,0.769292,-0.299246,0.136505,0.607786,0.729981,0.0813318,0.301842,0.00289596,0.0810868
29,0.769284,-0.296351,0.136498,0.603235,0.733306,0.0803851,0.303163,0.00289596,0.0839828
30,0.769275,-0.293455,0.136492,0.598664,0.736605,0.0794358,0.304473,0.00289596,0.0868787
31,0.769266,-0.290559,0.136486,0.594074,0.739878,0.0784841,0.305772,0.00289596,0.0897747
32,0.769257,-0.287663,0.13648,0.589465,0.743124,0.07753,0.307061,0.00289596,0.0926706
33,0.769248,-0.284767,0.136473,0.584838,0.746343,0.0765736,0.308338,0.00289596,0.0955666
34,0.769239,-0.281871,0.136467,0.580193,0.749536,0.0756151,0.309604,0.00289596,0.0984625
