index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.769631,-0.38186,0.136655,0.726883,0.626458,0.104698,0.261207,0,0
1,0.769621,-0.378935,0.136649,0.723034,0.630382,0.103892,0.262765,0.00292534,0.00292534
2,0.76961,-0.37601,0.136643,0.719155,0.634292,0.103082,0.264317,0.00292534,0.00585067
3,0.769599,-0.373084,0.136638,0.715245,0.638187,0.102266,0.265863,0.00292534,0.00877601
4,0.769589,-0.370159,0.136632,0.711305,0.642067,0.101446,0.267402,0.00292534,0.0117013
5,0.769578,-0.367234,0.136626,0.707335,0.645931,0.100621,0.268934,0.00292534,0.0146267
6,0.769568,-0.364308,0.13662,0.703336,0.649778,0.099792,0.27046,0.00292534,0.017552
7,0.769557,-0.361383,0.136614,0.699307,0.653609,0.0989581,0.271979,0.00292534,0.0204774
8,0.769546,-0.358458,0.136609,0.695249,0.657423,0.0981198,0.27349,0.00292534,0.0234027
9,0.769536,-0.355532,0.136603,0.691162,0.661219,0.097277,0.274994,0.00292534,0.026328
10,0.769525,-0.352607,0.136597,0.687047,0.664997,0.09643,0.27649,0.00292534,0.0292534
11,0.769515,-0.349682,0.136591,0.682904,0.668756,0.0955787,0.277978,0.00292534,0.0321787
12,0.769504,-0.346756,0.136586,0.678733,0.672496,0.0947232,0.279459,0.00292534,0.035104
13,0.769493,-0.343831,0.13658,0.674535,0.676217,0.0938637,0.280931,0.00292534,0.0380294
14,0.769483,-0.340906,0.136574,0.67031,0.679918,0.0930002,0.282395,0.00292534,0.0409547
15,0.769472,-0.337981,0.136568,0.666058,0.683598,0.0921327,0.28385,0.00292534,0.04388
16,0.769462,-0.335055,0.136563,0.66178,0.687258,0.0912614,0.285297,0.00292534,0.0468054
17,0.769451,-0.33213,0.136557,0.657477,0.690897,0.0903864,0.286735,0.00292534,0.0497307
18,0.76944,-0.329205,0.136551,0.653147,0.694513,0.0895076,0.288164,0.00292534,0.0526561
19,0.76943,-0.326279,0.136545,0.648793,0.698108,0.0886253,0.289583,0.00292534,0.0555814
20,0.769419,-0.323354,0.136539,0.644414,0.70168,0.0877395,0.290993,0.00292534,0.0585067
21,0.769409,-0.320429,0.136534,0.640011,0.70523,0.0868502,0.292394,0.00292534,0.0614321
22,0.769398,-0.317503,0.136528,0.635584,0.708756,0.0859576,0.293785,0.00292534,0.0643574
23,0.769387,-0.314578,0.136522,0.631133,0.712258,0.0850618,0.295167,0.00292534,0.0672827
24,0.769377,-0.311653,0.136516,0.62666,0.715737,0.0841629,0.296538,0.00292534,0.0702081
25,0.769366,-0.308727,0.136511,0.622165,0.719191,0.0832609,0.297899,0.00292534,0.0731334
26,0.769356,-0.305802,0.136505,0.617647,0.72262,0.0823559,0.29925,0.00292534,0.0760587
27,0.769345,-0.302877,0.136499,0.613108,0.726024,0.081448,0.30059,0.00292534,0.0789841
28,0.769334,-0.299951,0.136493,0.608548,0.729402,0.0805374,0.30192,0.00292534,0.0819094
29,0.769324,-0.297026,0.136488,0.603967,0.732755,0.0796241,0.303239,0.00292534,0.0848347
30,0.769313,-0.294101,0.136482,0.599366,0.736081,0.0787082,0.304548,0.00292534,0.0877601
31,0.769303,-0.291176,0.136476,0.594746,0.739381,0.0777899,0.305845,0.00292534,0.0906854
32,0.769292,-0.28825,0.13647,0.590107,0.742655,0.0768692,0.307131,0.00292534,0.0936108
33,0.769281,-0.285325,0.136465,0.585449,0.7459,0.0759461,0.308406,0.00292534,0.0965361
34,0.769271,-0.2824,0.136459,0.580773,0.749119,0.0750209,0.30967,0.00292534,0.0994614
35,0.76926,-0.279474,0.136453,0.576079,0.75231,0.0740936,0.310923,0.00292534,0.102387
36,0.76925,-0.276549,0.136447,0.571369,0.755472,0.0731644,0.312163,0.00292534,0.105312
37,0.769239,-0.273624,0.136441,0.566642,0.758607,0.0722332,0.313393,0.00292534,0.108237
38,0.769228,-0.270698,0.136436,0.561899,0.761713,0.0713003,0.31461,0.00292534,0.111163
