index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.159108,-1.72657,0.840152,-0.157724,-0.823073,-1.1994,-0,-0,0,-0,0,0,0,0,0,0,0,0
1,0.1,-0.161162,-1.73323,0.852652,-0.16066,-0.822457,-1.19533,-0.0411297,-0.133374,0.249997,-0.0585649,0.0123043,0.0815461,-0.424195,-1.34364,2.49991,-0.553763,0.123067,0.847804
2,0.3,-0.173983,-1.77339,0.927072,-0.176646,-0.818806,-1.16959,-0.043981,-0.133352,0.244243,-0.0475805,0.011884,0.0894381,0.437423,1.35428,-2.50023,0.520621,-0.122732,-0.881591
3,0.4,-0.179555,-1.77895,0.94236,-0.180534,-0.815124,-1.16351,-0.0978621,0.0343914,0.087243,-0.044672,0.0903057,0.0447761,-0.631061,1.87461,-1.70384,0.00321701,0.904464,-0.488214
4,0.5,-0.193013,-1.76666,0.944001,-0.185346,-0.801233,-1.16091,-0.209976,0.213877,-0.00489772,-0.0711622,0.221065,0.0302229,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
5,0.6,-0.223214,-1.7359,0.943296,-0.195581,-0.769437,-1.15656,-0.394057,0.401377,-0.00919142,-0.133548,0.414866,0.0567185,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
6,0.7,-0.271824,-1.68639,0.942163,-0.212056,-0.71826,-1.14956,-0.578137,0.588877,-0.0134851,-0.195934,0.608668,0.0832142,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
7,0.8,-0.338842,-1.61813,0.940599,-0.234768,-0.647703,-1.13992,-0.762218,0.776377,-0.0177788,-0.25832,0.80247,0.10971,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
8,0.9,-0.424268,-1.53111,0.938607,-0.26372,-0.557766,-1.12762,-0.946298,0.963877,-0.0220725,-0.320706,0.996271,0.136205,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
9,1,-0.528101,-1.42535,0.936185,-0.29891,-0.448449,-1.11267,-1.13038,1.15138,-0.0263662,-0.383092,1.19007,0.162701,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
10,1.1,-0.650343,-1.30084,0.933334,-0.340338,-0.319751,-1.09508,-1.31446,1.33888,-0.0306599,-0.445478,1.38387,0.189197,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
11,1.2,-0.790993,-1.15758,0.930053,-0.388005,-0.171674,-1.07484,-1.49854,1.52638,-0.0349536,-0.507864,1.57768,0.215692,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
12,1.3,-0.950051,-0.995563,0.926343,-0.441911,-0.00421618,-1.05194,-1.68262,1.71388,-0.0392473,-0.57025,1.77148,0.242188,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
13,1.4,-1.12752,-0.814801,0.922203,-0.502055,0.182622,-1.0264,-1.8667,1.90138,-0.043541,-0.632636,1.96528,0.268684,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
14,1.5,-1.32339,-0.615288,0.917635,-0.568438,0.38884,-0.998205,-2.05078,2.08888,-0.0478347,-0.695023,2.15908,0.295179,-1.8408,1.875,-0.042937,-0.62386,1.93802,0.264956
15,1.7,-1.74753,-0.183272,0.907742,-0.712181,0.835375,-0.937156,-2.07504,2.11358,-0.0484005,-0.703242,2.18462,0.29867,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
16,1.8,-1.94583,0.0187112,0.903116,-0.779386,1.04415,-0.908614,-1.89095,1.92608,-0.0441068,-0.640856,1.99081,0.272175,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
17,1.9,-2.12572,0.201944,0.89892,-0.840352,1.23354,-0.882721,-1.70687,1.73858,-0.0398131,-0.57847,1.79701,0.245679,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
18,2,-2.2872,0.366427,0.895154,-0.89508,1.40355,-0.859478,-1.52279,1.55108,-0.0355194,-0.516084,1.60321,0.219183,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
19,2.1,-2.43028,0.512161,0.891816,-0.943569,1.55418,-0.838885,-1.33871,1.36358,-0.0312257,-0.453698,1.40941,0.192688,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
20,2.2,-2.55495,0.639144,0.888908,-0.98582,1.68543,-0.820941,-1.15463,1.17608,-0.026932,-0.391312,1.21561,0.166192,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
21,2.3,-2.6612,0.747377,0.88643,-1.02183,1.7973,-0.805646,-0.970552,0.988581,-0.0226383,-0.328926,1.02181,0.139696,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
22,2.4,-2.74906,0.83686,0.884381,-1.0516,1.88979,-0.793001,-0.786472,0.801081,-0.0183446,-0.26654,0.828005,0.113201,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
23,2.5,-2.8185,0.907593,0.882761,-1.07514,1.9629,-0.783006,-0.602391,0.613581,-0.0140509,-0.204154,0.634203,0.0867052,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
24,2.6,-2.86953,0.959576,0.881571,-1.09244,2.01663,-0.77566,-0.418311,0.426081,-0.00975715,-0.141768,0.440401,0.0602096,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
25,2.7,-2.90216,0.992809,0.88081,-1.10349,2.05098,-0.770964,-0.23423,0.238581,-0.00546345,-0.0793821,0.2466,0.0337139,1.8408,-1.875,0.042937,0.62386,-1.93802,-0.264956
26,2.8,-2.91773,1.00786,0.882381,-1.11052,2.067,-0.768024,-0.104396,0.0688722,0.0868276,-0.116129,0.0923928,0.047267,1.15868,-1.87061,1.67206,-1.09544,-1.54267,0.427395
27,2.9,-2.92231,1.00617,0.897404,-1.12577,2.06884,-0.761888,-0.0238885,-0.0769696,0.241454,-0.227943,-0.0229396,0.0917505,-0.252436,-0.782799,2.49999,-2.39275,-0.252254,0.980894
28,3,-2.92599,0.994656,0.934047,-1.16074,2.06518,-0.747606,-0.0501467,-0.152201,0.491402,-0.474053,-0.0513976,0.196342,-0.274989,-0.712507,2.4996,-2.54999,-0.328174,1.13018
29,3.1,-2.93243,0.976065,0.995683,-1.22131,2.05819,-0.72193,-0.0792348,-0.217399,0.741311,-0.741992,-0.0911216,0.321699,-0.308749,-0.578747,2.49947,-2.8351,-0.482995,1.40178
30,3.2,-2.94194,0.951768,1.08229,-1.3103,2.04624,-0.682137,-0.111323,-0.264259,0.989027,-1.04353,-0.15252,0.480478,-0.320628,-0.311261,2.35568,-3.12546,-0.761895,1.76048
31,3.3,-2.95459,0.924504,1.19212,-1.43027,2.02659,-0.624823,-0.140524,-0.273377,1.19912,-1.35586,-0.247364,0.670878,-0.250827,0.150133,1.83468,-3.12525,-1.17752,2.06594
32,3.4,-2.96968,0.898793,1.3203,-1.58148,1.99496,-0.546794,-0.158367,-0.231476,1.35505,-1.66829,-0.396902,0.896546,-0.081043,0.712745,1.27413,-3.12495,-1.89095,2.47996
33,3.5,-2.98523,0.880461,1.45924,-1.76125,1.94488,-0.445362,-0.139521,-0.118971,1.34015,-1.82396,-0.590389,1.08083,0.550043,1.46834,-2.50149,1.52806,-1.35339,0.217399
34,3.6,-2.99621,0.875371,1.58078,-1.93496,1.87918,-0.336775,-0.0783274,0.011719,1.09062,-1.6398,-0.721689,1.08516,0.656301,1.13959,-2.50222,2.15928,-1.23869,-0.128158
35,3.7,-3.00074,0.881546,1.6773,-2.08699,1.8014,-0.229583,-0.0126285,0.104729,0.840098,-1.39043,-0.827301,1.05251,0.635084,0.715817,-2.50342,2.80942,-0.833002,-0.524581
36,3.8,-2.99908,0.894767,1.74881,-2.21088,1.7158,-0.127891,0.0428902,0.152213,0.594129,-1.08347,-0.874979,0.976661,0.462001,0.262376,-2.31322,3.12866,-0.221541,-0.843468
37,3.9,-2.99289,0.910665,1.79722,-2.30362,1.62838,-0.03494,0.0765559,0.159595,0.379015,-0.771326,-0.860373,0.876452,0.201186,-0.107513,-2.00798,3.13162,0.597105,-1.24231
38,4,-2.98479,0.925465,1.82562,-2.36514,1.54758,0.0450382,0.0792592,0.129877,0.194534,-0.45886,-0.726393,0.701641,-0.173026,-0.505357,-1.6751,3.13751,2.37828,-2.54689
39,4.1,-2.97843,0.935286,1.83771,-2.39599,1.49108,0.0989838,0.0439644,0.0642384,0.0617268,-0.176413,-0.381922,0.36125,-0.424254,-0.662672,-0.872351,2.16335,3.74636,-3.57844
40,4.2,-2.97563,0.938341,1.83999,-2.40397,1.47024,0.11818,0.0433994,-0.0134364,-0.0411059,0.0351416,-0.1097,0.0668306,1.02901,-1.22982,-2.06225,3.12394,0.624001,-1.89749
41,4.3,-2.96512,0.930873,1.82501,-2.38487,1.4586,0.118254,0.184589,-0.135813,-0.268725,0.347218,-0.188175,-0.0163488,1.66132,-1.22233,-2.41856,3.125,-1.6936,-0.147141
