index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.978017,-0.373793,0.0290009,0.536373,0.818994,0.0303655,0.20157,0,0
1,0.97772,-0.229744,0.028286,0.494127,0.80207,0.058109,0.330372,0.144051,0.144051
2,0.97772,-0.078398,0.028286,0.219786,0.904256,0.006742,0.366019,0.151346,0.295397
3,0.97772,0.072948,0.028286,-0.074251,0.925408,-0.04523,0.368866,0.151346,0.446743
4,0.977591,0.0759637,0.028616,-0.0772559,0.925675,-0.0456406,0.367524,0.0030364,0.449779
5,0.977462,0.0789793,0.028946,-0.0802635,0.925933,-0.0460511,0.366176,0.0030364,0.452816
6,0.977333,0.081995,0.029276,-0.0832734,0.926181,-0.0464616,0.364823,0.0030364,0.455852
7,0.977204,0.0850107,0.029606,-0.0862857,0.926419,-0.046872,0.363464,0.0030364,0.458888
8,0.977075,0.0880263,0.029936,-0.0893003,0.926646,-0.0472823,0.3621,0.0030364,0.461925
9,0.976947,0.091042,0.0302659,-0.092317,0.926864,-0.0476925,0.36073,0.0030364,0.464961
10,0.976818,0.0940576,0.0305959,-0.0953357,0.927071,-0.0481026,0.359355,0.0030364,0.467998
11,0.976689,0.0970733,0.0309259,-0.0983564,0.927269,-0.0485126,0.357974,0.0030364,0.471034
12,0.97656,0.100089,0.0312559,-0.101379,0.927456,-0.0489225,0.356588,0.0030364,0.47407
13,0.976431,0.103105,0.0315859,-0.104403,0.927632,-0.0493321,0.355197,0.0030364,0.477107
14,0.976302,0.10612,0.0319159,-0.107429,0.927799,-0.0497416,0.3538,0.0030364,0.480143
15,0.976173,0.109136,0.0322459,-0.110457,0.927955,-0.0501509,0.352398,0.0030364,0.48318
16,0.976044,0.112152,0.0325759,-0.113485,0.9281,-0.05056,0.350991,0.0030364,0.486216
17,0.975915,0.115167,0.0329059,-0.116516,0.928235,-0.0509689,0.349579,0.0030364,0.489252
18,0.975786,0.118183,0.0332359,-0.119547,0.92836,-0.0513776,0.348161,0.0030364,0.492289
19,0.975657,0.121199,0.0335658,-0.12258,0.928474,-0.0517859,0.346739,0.0030364,0.495325
20,0.975529,0.124214,0.0338958,-0.125613,0.928578,-0.0521941,0.345311,0.0030364,0.498362
21,0.9754,0.12723,0.0342258,-0.128648,0.928671,-0.0526019,0.343878,0.0030364,0.501398
