index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.259449,-1.58536,1.22509,-1.01538,-0.698008,-2.03606,-0,-0,0,-0,0,0,0,0,0,0,0,0
1,0.1,-0.260955,-1.58766,1.23009,-1.01754,-0.696895,-2.03478,-0.0301177,-0.0458499,0.1,-0.0431517,0.0222666,0.0255777,-0.301177,-0.458499,1,-0.431517,0.222666,0.255777
2,0.2,-0.265483,-1.59454,1.24509,-1.02401,-0.693549,-2.03093,-0.0606709,-0.0917582,0.199998,-0.0859889,0.0447783,0.0517524,-0.312622,-0.460051,0.999991,-0.423276,0.229108,0.271461
3,0.3,-0.273139,-1.60602,1.27009,-1.0347,-0.687912,-2.02436,-0.0927336,-0.137878,0.299994,-0.127709,0.0681294,0.0800348,-0.32987,-0.462576,0.999975,-0.41011,0.238559,0.296079
4,0.4,-0.284097,-1.62212,1.30509,-1.04949,-0.679887,-2.01482,-0.126839,-0.184323,0.399989,-0.167768,0.092566,0.111366,-0.353721,-0.466692,1,-0.389478,0.250821,0.333294
5,0.5,-0.298597,-1.6429,1.35009,-1.06817,-0.669353,-2.00194,-0.163643,-0.231267,0.499982,-0.205341,0.118343,0.147094,-0.383865,-0.472624,0.999954,-0.360143,0.265335,0.384363
6,0.6,-0.316935,-1.6684,1.40509,-1.09044,-0.65617,-1.9852,-0.203728,-0.278952,0.599972,-0.239316,0.145583,0.188881,-0.419676,-0.481646,0.999962,-0.316985,0.280179,0.455228
7,0.7,-0.339115,-1.69825,1.46908,-1.11548,-0.640438,-1.96423,-0.225102,-0.298072,0.636676,-0.244011,0.158432,0.217061,0.265716,0.445687,-1.00012,0.491293,-0.212635,-0.165294
8,0.8,-0.360228,-1.72582,1.52775,-1.13749,-0.625692,-1.94347,-0.196486,-0.253117,0.536684,-0.196839,0.136182,0.197098,0.30488,0.453351,-1.00012,0.453541,-0.231411,-0.231623
9,0.9,-0.378294,-1.74885,1.57642,-1.15497,-0.613256,-1.92502,-0.164319,-0.207398,0.43669,-0.153389,0.112311,0.17076,0.336691,0.461128,-1.00011,0.416061,-0.244838,-0.293579
10,1,-0.392998,-1.76727,1.61509,-1.1683,-0.603265,-1.90952,-0.12935,-0.160887,0.336668,-0.113641,0.0873606,0.138493,0.361006,0.468903,-1.0001,0.37942,-0.253151,-0.349982
11,1.1,-0.404094,-1.78101,1.64376,-1.17782,-0.595806,-1.8975,-0.0922932,-0.113667,0.236668,-0.0772653,0.0617477,0.101141,0.378717,0.475447,-1.00008,0.348897,-0.258308,-0.395305
12,1.2,-0.411408,-1.78999,1.66242,-1.18384,-0.590928,-1.88942,-0.0538,-0.0658628,0.136659,-0.0435703,0.0357642,0.0598845,0.389961,0.480271,-1.00005,0.32664,-0.260932,-0.427192
13,1.3,-0.414822,-1.79416,1.67109,-1.1866,-0.58866,-1.88561,-0.0144429,-0.0176724,0.0366577,-0.0116635,0.00959587,0.0160974,0.393995,0.482093,-1,0.318173,-0.26177,-0.439128
14,1.33666,-0.415087,-1.79449,1.67176,-1.18681,-0.588484,-1.88532,-2.40875e-17,-2.94735e-17,6.11365e-17,-1.9452e-17,1.60037e-17,2.68468e-17,0.393995,0.482093,-1,0.318173,-0.26177,-0.439128
