index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-2.94699,1.68193,-1.23413,0.5058,2.26716,-1.45198,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-2.94793,1.68462,-1.23913,0.506376,2.26751,-1.44952,-0.0187979,0.0538799,-0.1,0.0115198,0.00702114,0.0492941,-0.187979,0.538799,-1,0.115198,0.0702114,0.492941
2,0.2,-2.95075,1.69271,-1.25413,0.508077,2.26856,-1.44209,-0.0378074,0.108084,-0.199996,0.0219475,0.0138291,0.0997771,-0.193262,0.546917,-0.999992,0.0880242,0.0649109,0.522569
3,0.3,-2.95551,1.70627,-1.27913,0.51065,2.27025,-1.42944,-0.0574831,0.163359,-0.299987,0.0288167,0.019901,0.154134,-0.200813,0.559592,-0.999911,0.0462517,0.0558207,0.568009
4,0.4,-2.96228,1.72543,-1.31413,0.51367,2.2725,-1.41108,-0.0780041,0.220232,-0.399972,0.0305464,0.0247093,0.214077,-0.210273,0.579109,-0.999908,-0.0154731,0.039432,0.635083
5,0.5,-2.97115,1.7504,-1.35913,0.516519,2.27512,-1.38636,-0.0995142,0.279441,-0.499951,0.0250347,0.0273817,0.281882,-0.219808,0.607132,-0.99978,-0.0998475,0.0109848,0.726605
6,0.6,-2.98202,1.78089,-1.41318,0.518336,2.27781,-1.35492,-0.10946,0.30683,-0.538499,0.00910392,0.0239008,0.323028,0.182808,-0.508638,1.00023,-0.200584,-0.107205,-0.400295
7,0.7,-2.99203,1.80898,-1.46202,0.5184,2.27971,-1.32479,-0.0904805,0.254438,-0.438363,-0.0063649,0.0144352,0.277952,0.195714,-0.536704,1.00023,-0.112635,-0.0830401,-0.495631
8,0.8,-3.00009,1.8317,-1.50086,0.517334,2.28078,-1.29962,-0.0704905,0.199433,-0.338314,-0.0137056,0.00751476,0.22411,0.203222,-0.561966,1.00021,-0.0379285,-0.0559747,-0.576847
9,0.9,-3.00611,1.84879,-1.52968,0.515882,2.2813,-1.28021,-0.0499052,0.142146,-0.238273,-0.014376,0.00315426,0.163011,0.2076,-0.582313,1.00016,0.0204839,-0.0319048,-0.640536
10,1,-3.01006,1.86007,-1.54851,0.514622,2.28149,-1.26719,-0.0290297,0.083137,-0.138249,-0.0101671,0.000950419,0.0965868,0.209489,-0.596438,1.0001,0.0598667,-0.0135515,-0.683675
11,1.1,-3.01191,1.86538,-1.55733,0.513961,2.28154,-1.26102,-0.00803256,0.0230187,-0.0382437,-0.00286918,0.000235252,0.0267809,0.210036,-0.601894,1,0.0750237,-0.00615139,-0.700271
12,1.13824,-3.01206,1.86582,-1.55806,0.513907,2.28155,-1.2605,1.25477e-17,-3.59575e-17,5.97405e-17,4.48195e-18,-3.67487e-19,-4.18345e-17,0.210036,-0.601894,1,0.0750237,-0.00615139,-0.700271
