index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.769731,-0.380635,0.136252,0.722589,0.629678,0.105499,0.26503,0,0
1,0.769723,-0.377733,0.136267,0.718795,0.633522,0.104675,0.266509,0.0029018,0.0029018
2,0.769715,-0.374832,0.136282,0.714972,0.637351,0.103846,0.267982,0.0029018,0.0058036
3,0.769707,-0.37193,0.136297,0.71112,0.641167,0.103013,0.269448,0.0029018,0.0087054
4,0.7697,-0.369028,0.136311,0.707239,0.644967,0.102175,0.270908,0.0029018,0.0116072
5,0.769692,-0.366126,0.136326,0.703329,0.648752,0.101332,0.272362,0.0029018,0.014509
6,0.769684,-0.363225,0.136341,0.699392,0.652521,0.100486,0.273808,0.0029018,0.0174108
7,0.769676,-0.360323,0.136356,0.695426,0.656273,0.0996342,0.275247,0.0029018,0.0203126
8,0.769668,-0.357421,0.136371,0.691432,0.66001,0.0987785,0.27668,0.0029018,0.0232144
9,0.769661,-0.354519,0.136386,0.687411,0.663728,0.0979185,0.278105,0.0029018,0.0261162
10,0.769653,-0.351618,0.1364,0.683363,0.66743,0.0970544,0.279522,0.0029018,0.029018
11,0.769645,-0.348716,0.136415,0.679289,0.671113,0.0961862,0.280932,0.0029018,0.0319198
12,0.769637,-0.345814,0.13643,0.675187,0.674778,0.095314,0.282334,0.0029018,0.0348216
13,0.76963,-0.342912,0.136445,0.67106,0.678424,0.0944377,0.283728,0.0029018,0.0377234
14,0.769622,-0.340011,0.13646,0.666907,0.68205,0.0935576,0.285113,0.0029018,0.0406252
15,0.769614,-0.337109,0.136474,0.662728,0.685657,0.0926737,0.286491,0.0029018,0.043527
16,0.769606,-0.334207,0.136489,0.658525,0.689244,0.0917861,0.287859,0.0029018,0.0464288
17,0.769598,-0.331305,0.136504,0.654297,0.69281,0.0908948,0.28922,0.0029018,0.0493306
18,0.769591,-0.328404,0.136519,0.650044,0.696356,0.09,0.290571,0.0029018,0.0522324
19,0.769583,-0.325502,0.136534,0.645767,0.69988,0.0891017,0.291913,0.0029018,0.0551342
20,0.769575,-0.3226,0.136549,0.641467,0.703382,0.0882,0.293247,0.0029018,0.058036
21,0.769567,-0.319698,0.136563,0.637144,0.706863,0.087295,0.294571,0.0029018,0.0609378
22,0.76956,-0.316797,0.136578,0.632798,0.710321,0.0863868,0.295885,0.0029018,0.0638396
23,0.769552,-0.313895,0.136593,0.62843,0.713756,0.0854755,0.29719,0.0029018,0.0667414
24,0.769544,-0.310993,0.136608,0.62404,0.717168,0.0845611,0.298486,0.0029018,0.0696432
25,0.769536,-0.308091,0.136623,0.619629,0.720556,0.0836437,0.299772,0.0029018,0.072545
26,0.769528,-0.30519,0.136638,0.615196,0.723921,0.0827235,0.301047,0.0029018,0.0754468
27,0.769521,-0.302288,0.136652,0.610743,0.727261,0.0818006,0.302313,0.0029018,0.0783486
28,0.769513,-0.299386,0.136667,0.60627,0.730577,0.0808749,0.303568,0.0029018,0.0812504
29,0.769505,-0.296484,0.136682,0.601777,0.733868,0.0799467,0.304814,0.0029018,0.0841522
30,0.769497,-0.293583,0.136697,0.597265,0.737133,0.079016,0.306048,0.0029018,0.087054
31,0.769489,-0.290681,0.136712,0.592734,0.740374,0.0780829,0.307272,0.0029018,0.0899558
32,0.769482,-0.287779,0.136726,0.588185,0.743588,0.0771476,0.308486,0.0029018,0.0928576
33,0.769474,-0.284877,0.136741,0.583618,0.746776,0.07621,0.309689,0.0029018,0.0957594
34,0.769466,-0.281976,0.136756,0.579034,0.749938,0.0752703,0.31088,0.0029018,0.0986612
35,0.769458,-0.279074,0.136771,0.574433,0.753074,0.0743286,0.312061,0.0029018,0.101563
36,0.769451,-0.276172,0.136786,0.569815,0.756182,0.073385,0.313231,0.0029018,0.104465
37,0.769443,-0.27327,0.136801,0.565182,0.759263,0.0724396,0.31439,0.0029018,0.107367
38,0.769435,-0.270369,0.136815,0.560533,0.762317,0.0714925,0.315537,0.0029018,0.110268
39,0.769427,-0.267467,0.13683,0.55587,0.765343,0.0705438,0.316673,0.0029018,0.11317
40,0.769419,-0.264565,0.136845,0.551192,0.768342,0.0695936,0.317797,0.0029018,0.116072
41,0.769412,-0.261663,0.13686,0.546501,0.771312,0.0686419,0.31891,0.0029018,0.118974
