index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.265449,-0.513799,-1.20882,0.32538,-0.689632,-2.06597,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.266917,-0.511861,-1.21382,0.328958,-0.688543,-2.06473,-0.0293597,0.0387634,-0.1,0.0715472,0.0217817,0.0246916,-0.293597,0.387634,-1,0.715472,0.217817,0.246916
2,0.2,-0.271347,-0.506017,-1.22882,0.339739,-0.685291,-2.06089,-0.0594306,0.0782016,-0.199989,0.14444,0.0432512,0.0528205,-0.304833,0.385514,-0.999957,0.734839,0.220874,0.278823
3,0.3,-0.27884,-0.496284,-1.25382,0.35789,-0.679847,-2.05418,-0.0906993,0.116267,-0.29998,0.218937,0.0657605,0.0818842,-0.319548,0.374583,-0.999994,0.759572,0.229302,0.307175
4,0.4,-0.289546,-0.482808,-1.28881,0.383627,-0.672106,-2.0444,-0.123799,0.152979,-0.399969,0.296397,0.089258,0.114311,-0.344791,0.358792,-0.999896,0.790487,0.241324,0.342106
5,0.5,-0.30368,-0.465755,-1.33381,0.417314,-0.661956,-2.03116,-0.15931,0.187682,-0.499953,0.378216,0.11395,0.151523,-0.372781,0.335019,-0.999856,0.840983,0.254268,0.396648
6,0.6,-0.321505,-0.445368,-1.3888,0.459479,-0.649274,-2.01388,-0.19768,0.219489,-0.599931,0.466358,0.139896,0.195392,-0.394491,0.299145,-0.999901,0.927509,0.264418,0.485986
7,0.7,-0.343329,-0.421994,-1.45379,0.510874,-0.633938,-1.99179,-0.239196,0.247018,-0.699422,0.563052,0.166867,0.248053,-0.432987,0.24343,-0.975892,1.00014,0.271105,0.565856
8,0.8,-0.369339,-0.396281,-1.52831,0.57218,-0.615965,-1.96403,-0.280527,0.266166,-0.789438,0.663054,0.192131,0.30765,-0.394224,0.253383,-0.979525,1.00013,0.253473,0.556759
9,0.9,-0.399316,-0.369381,-1.61083,0.643485,-0.5957,-1.92994,-0.318272,0.270153,-0.85851,0.763058,0.212355,0.374861,-0.337988,-0.206248,-0.355714,1.00017,0.130097,0.796741
10,1,-0.432814,-0.342751,-1.69933,0.724792,-0.573709,-1.88886,-0.350678,0.26025,-0.908464,0.863072,0.226341,0.447399,-0.23857,-0.419089,-0.0605518,1.0001,0.0243324,0.869709
11,1.1,-0.469202,-0.317932,-1.7917,0.816099,-0.550718,-1.84026,-0.375716,0.233325,-0.935252,0.963084,0.232012,0.525159,-0.310986,-0.0491861,-0.577568,1.00018,0.130859,0.662741
12,1.2,-0.506936,-0.296932,-1.88391,0.915319,-0.528025,-1.78495,-0.368644,0.179356,-0.883886,0.997789,0.215076,0.568314,0.240341,-0.86339,0.999909,0.28742,-0.332175,0.501296
13,1.3,-0.542268,-0.282047,-1.96726,1.01367,-0.508032,-1.728,-0.337685,0.119532,-0.783897,0.967298,0.184857,0.5686,0.18173,-0.444805,0.643561,-0.0892232,-0.20694,0.0716422
14,1.4,-0.574334,-0.273004,-2.04059,1.10855,-0.491125,-1.67147,-0.303201,0.0639456,-0.683103,0.925291,0.153718,0.557628,0.350375,-0.717692,1.00023,-0.0550606,-0.358332,0.154744
15,1.5,-0.60285,-0.269013,-2.10397,1.19831,-0.477256,-1.61686,-0.268623,0.0197504,-0.589145,0.86879,0.125387,0.532605,0.190596,0.0878733,0.498348,-1.00011,-0.0655037,-0.654799
16,1.6,-0.630328,-0.26912,-2.16216,1.2871,-0.464885,-1.56216,-0.278693,-0.0233682,-0.583316,0.933025,0.119475,0.579202,-0.117211,-0.252842,-0.294572,1.00007,-0.0162065,0.677406
17,1.7,-0.658179,-0.27384,-2.22022,1.38485,-0.45364,-1.50103,-0.271753,-0.0709362,-0.563757,1,0.102313,0.629574,0.236871,-0.45225,0.585634,0.000216864,-0.246208,0.0742789
18,1.8,-0.684077,-0.283125,-2.27371,1.48485,-0.444667,-1.4377,-0.246778,-0.113993,-0.507366,1,0.07748,0.636594,0.215541,-0.40681,0.51735,6.86369e-06,-0.231819,0.058408
19,1.9,-0.707641,-0.296492,-2.32193,1.58485,-0.438086,-1.37375,-0.224941,-0.152657,-0.457932,1,0.0543888,0.642278,0.21568,-0.366202,0.468235,9.46872e-05,-0.228901,0.0551975
20,2,-0.729143,-0.313523,-2.3655,1.68485,-0.433753,-1.30926,-0.205514,-0.187318,-0.414396,1,0.0324357,0.64749,0.187858,-0.329132,0.412139,9.6596e-05,-0.217333,0.0527798
21,2.1,-0.748818,-0.333832,-2.40498,1.78485,-0.431575,-1.24425,-0.188288,-0.218273,-0.376097,1,0.0111887,0.652891,0.163078,-0.290655,0.35787,2.39848e-05,-0.211623,0.0578669
22,2.2,-0.766857,-0.357063,-2.44087,1.88485,-0.431512,-1.17866,-0.172769,-0.245787,-0.342325,1,-0.00996591,0.65913,0.152431,-0.257241,0.317582,3.58772e-06,-0.21556,0.0699819
23,2.3,-0.78341,-0.382882,-2.47358,1.98485,-0.433588,-1.11237,-0.158515,-0.270062,-0.312509,1,-0.0316858,0.666823,0.145897,-0.225008,0.281575,8.41855e-06,-0.226602,0.0883364
24,2.4,-0.798579,-0.410971,-2.50348,2.08485,-0.437897,-1.04522,-0.144724,-0.290576,-0.285521,0.997712,-0.0546308,0.675078,0.288983,0.0980792,0.534994,-0.999989,-0.190989,-0.563344
25,2.5,-0.811728,-0.439412,-2.52953,2.17962,-0.444206,-0.980554,-0.11897,-0.276978,-0.237056,0.897724,-0.0707218,0.618151,0.227246,0.170027,0.438921,-1.00004,-0.132092,-0.575362
26,2.6,-0.822476,-0.466141,-2.55115,2.2644,-0.451889,-0.921628,-0.0964961,-0.256638,-0.196535,0.797728,-0.0821721,0.560145,0.221721,0.231876,0.375958,-1.00007,-0.0956923,-0.587467
