index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.768452,-0.381187,0.136945,0.722663,0.62926,0.100463,0.267762,0,0
1,0.768464,-0.378274,0.136934,0.718864,0.633108,0.0997312,0.269189,0.0029124,0.0029124
2,0.768476,-0.375362,0.136923,0.715035,0.636942,0.098995,0.27061,0.0029124,0.00582481
3,0.768488,-0.37245,0.136911,0.711178,0.640761,0.0982544,0.272024,0.0029124,0.00873721
4,0.7685,-0.369537,0.1369,0.707292,0.644566,0.0975096,0.273432,0.0029124,0.0116496
5,0.768513,-0.366625,0.136888,0.703377,0.648355,0.0967605,0.274833,0.0029124,0.014562
6,0.768525,-0.363712,0.136877,0.699435,0.652129,0.0960073,0.276227,0.0029124,0.0174744
7,0.768537,-0.3608,0.136866,0.695465,0.655886,0.09525,0.277614,0.0029124,0.0203868
8,0.768549,-0.357888,0.136854,0.691467,0.659627,0.0944887,0.278993,0.0029124,0.0232992
9,0.768561,-0.354975,0.136843,0.687442,0.663351,0.0937234,0.280366,0.0029124,0.0262116
10,0.768573,-0.352063,0.136832,0.68339,0.667057,0.0929542,0.28173,0.0029124,0.029124
11,0.768585,-0.349151,0.13682,0.679312,0.670746,0.0921811,0.283087,0.0029124,0.0320365
12,0.768597,-0.346238,0.136809,0.675207,0.674416,0.0914043,0.284436,0.0029124,0.0349489
13,0.768609,-0.343326,0.136798,0.671076,0.678068,0.0906237,0.285777,0.0029124,0.0378613
14,0.768621,-0.340414,0.136786,0.66692,0.6817,0.0898395,0.287109,0.0029124,0.0407737
15,0.768633,-0.337501,0.136775,0.662738,0.685313,0.0890517,0.288434,0.0029124,0.0436861
16,0.768645,-0.334589,0.136764,0.658532,0.688906,0.0882604,0.289749,0.0029124,0.0465985
17,0.768657,-0.331677,0.136752,0.654301,0.692478,0.0874657,0.291056,0.0029124,0.0495109
18,0.768669,-0.328764,0.136741,0.650046,0.69603,0.0866676,0.292354,0.0029124,0.0524233
19,0.768682,-0.325852,0.13673,0.645767,0.699561,0.0858662,0.293643,0.0029124,0.0553357
20,0.768694,-0.322939,0.136718,0.641465,0.70307,0.0850616,0.294923,0.0029124,0.0582481
21,0.768706,-0.320027,0.136707,0.63714,0.706557,0.0842539,0.296194,0.0029124,0.0611605
22,0.768718,-0.317115,0.136696,0.632792,0.710022,0.0834431,0.297456,0.0029124,0.0640729
23,0.76873,-0.314202,0.136684,0.628423,0.713464,0.0826293,0.298707,0.0029124,0.0669853
24,0.768742,-0.31129,0.136673,0.624031,0.716884,0.0818126,0.29995,0.0029124,0.0698977
25,0.768754,-0.308378,0.136661,0.619618,0.72028,0.0809931,0.301182,0.0029124,0.0728101
26,0.768766,-0.305465,0.13665,0.615185,0.723652,0.0801709,0.302405,0.0029124,0.0757225
27,0.768778,-0.302553,0.136639,0.610731,0.727,0.079346,0.303617,0.0029124,0.0786349
28,0.76879,-0.299641,0.136627,0.606256,0.730324,0.0785185,0.304819,0.0029124,0.0815473
29,0.768802,-0.296728,0.136616,0.601763,0.733623,0.0776885,0.306011,0.0029124,0.0844597
30,0.768814,-0.293816,0.136605,0.59725,0.736898,0.0768561,0.307193,0.0029124,0.0873721
31,0.768826,-0.290904,0.136593,0.592719,0.740146,0.0760214,0.308364,0.0029124,0.0902846
32,0.768839,-0.287991,0.136582,0.588169,0.74337,0.0751844,0.309524,0.0029124,0.093197
33,0.768851,-0.285079,0.136571,0.583602,0.746567,0.0743453,0.310674,0.0029124,0.0961094
34,0.768863,-0.282166,0.136559,0.579018,0.749738,0.0735041,0.311813,0.0029124,0.0990218
35,0.768875,-0.279254,0.136548,0.574417,0.752883,0.0726609,0.312941,0.0029124,0.101934
36,0.768887,-0.276342,0.136537,0.5698,0.756001,0.0718158,0.314058,0.0029124,0.104847
37,0.768899,-0.273429,0.136525,0.565167,0.759092,0.070969,0.315164,0.0029124,0.107759
38,0.768911,-0.270517,0.136514,0.560519,0.762156,0.0701204,0.316259,0.0029124,0.110671
39,0.768923,-0.267605,0.136503,0.555856,0.765193,0.0692701,0.317343,0.0029124,0.113584
40,0.768935,-0.264692,0.136491,0.551179,0.768201,0.0684183,0.318415,0.0029124,0.116496
41,0.768947,-0.26178,0.13648,0.546488,0.771182,0.0675651,0.319476,0.0029124,0.119409
42,0.768959,-0.258868,0.136469,0.541783,0.774134,0.0667105,0.320525,0.0029124,0.122321
43,0.768971,-0.255955,0.136457,0.537067,0.777059,0.0658546,0.321563,0.0029124,0.125233
44,0.768983,-0.253043,0.136446,0.532338,0.779954,0.0649976,0.322589,0.0029124,0.128146
