index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.769268,-0.381763,0.136284,0.720148,0.631102,0.106179,0.268,0,0
1,0.769265,-0.37884,0.136285,0.716386,0.634908,0.10534,0.269419,0.00292345,0.00292345
2,0.769261,-0.375916,0.136287,0.712596,0.6387,0.104497,0.270833,0.00292345,0.0058469
3,0.769258,-0.372993,0.136288,0.708777,0.642478,0.103649,0.272239,0.00292345,0.00877035
4,0.769254,-0.370069,0.136289,0.70493,0.646241,0.102797,0.27364,0.00292345,0.0116938
5,0.76925,-0.367146,0.136291,0.701056,0.649989,0.101941,0.275033,0.00292345,0.0146172
6,0.769247,-0.364223,0.136292,0.697154,0.653722,0.101079,0.27642,0.00292345,0.0175407
7,0.769243,-0.361299,0.136293,0.693224,0.657438,0.100214,0.2778,0.00292345,0.0204641
8,0.769239,-0.358376,0.136295,0.689268,0.661138,0.0993443,0.279172,0.00292345,0.0233876
9,0.769236,-0.355452,0.136296,0.685285,0.664821,0.0984705,0.280537,0.00292345,0.026311
10,0.769232,-0.352529,0.136298,0.681275,0.668487,0.0975924,0.281895,0.00292345,0.0292345
11,0.769229,-0.349605,0.136299,0.67724,0.672135,0.0967104,0.283245,0.00292345,0.0321579
12,0.769225,-0.346682,0.1363,0.673178,0.675765,0.0958243,0.284587,0.00292345,0.0350814
13,0.769221,-0.343758,0.136302,0.669092,0.679377,0.0949344,0.285922,0.00292345,0.0380048
14,0.769218,-0.340835,0.136303,0.66498,0.682969,0.0940406,0.287248,0.00292345,0.0409283
15,0.769214,-0.337912,0.136304,0.660843,0.686542,0.0931431,0.288566,0.00292345,0.0438517
16,0.76921,-0.334988,0.136306,0.656682,0.690096,0.0922419,0.289875,0.00292345,0.0467752
17,0.769207,-0.332065,0.136307,0.652497,0.693629,0.0913372,0.291176,0.00292345,0.0496986
18,0.769203,-0.329141,0.136308,0.648288,0.697142,0.0904289,0.292468,0.00292345,0.0526221
19,0.7692,-0.326218,0.13631,0.644056,0.700634,0.0895172,0.293751,0.00292345,0.0555455
20,0.769196,-0.323294,0.136311,0.639801,0.704105,0.0886022,0.295026,0.00292345,0.058469
21,0.769192,-0.320371,0.136313,0.635524,0.707554,0.0876839,0.296291,0.00292345,0.0613924
22,0.769189,-0.317447,0.136314,0.631224,0.710981,0.0867625,0.297547,0.00292345,0.0643159
23,0.769185,-0.314524,0.136315,0.626903,0.714386,0.085838,0.298793,0.00292345,0.0672393
