index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.768593,-0.380398,0.13602,0.727804,0.624526,0.102641,0.26407,0,0
1,0.768603,-0.377501,0.136027,0.723942,0.628489,0.101873,0.265576,0.00289722,0.00289722
2,0.768612,-0.374604,0.136033,0.720049,0.632438,0.101101,0.267077,0.00289722,0.00579444
3,0.768621,-0.371707,0.13604,0.716126,0.636371,0.100324,0.268571,0.00289722,0.00869165
4,0.768631,-0.368809,0.136046,0.712172,0.64029,0.0995427,0.270058,0.00289722,0.0115889
5,0.76864,-0.365912,0.136053,0.708188,0.644192,0.0987567,0.271538,0.00289722,0.0144861
6,0.768649,-0.363015,0.136059,0.704174,0.648079,0.0979661,0.273012,0.00289722,0.0173833
7,0.768659,-0.360118,0.136065,0.70013,0.651949,0.0971711,0.274478,0.00289722,0.0202805
8,0.768668,-0.357221,0.136072,0.696058,0.655801,0.0963718,0.275936,0.00289722,0.0231777
9,0.768677,-0.354323,0.136078,0.691956,0.659636,0.0955681,0.277387,0.00289722,0.026075
10,0.768687,-0.351426,0.136085,0.687826,0.663453,0.0947602,0.27883,0.00289722,0.0289722
11,0.768696,-0.348529,0.136091,0.683667,0.667251,0.0939482,0.280266,0.00289722,0.0318694
12,0.768706,-0.345632,0.136098,0.679481,0.67103,0.0931321,0.281693,0.00289722,0.0347666
13,0.768715,-0.342735,0.136104,0.675267,0.67479,0.0923119,0.283111,0.00289722,0.0376638
14,0.768724,-0.339837,0.13611,0.671026,0.678529,0.0914878,0.284521,0.00289722,0.0405611
15,0.768734,-0.33694,0.136117,0.666758,0.682249,0.0906599,0.285923,0.00289722,0.0434583
16,0.768743,-0.334043,0.136123,0.662463,0.685947,0.0898282,0.287315,0.00289722,0.0463555
17,0.768752,-0.331146,0.13613,0.658143,0.689624,0.0889927,0.288699,0.00289722,0.0492527
18,0.768762,-0.328249,0.136136,0.653796,0.69328,0.0881537,0.290073,0.00289722,0.0521499
19,0.768771,-0.325351,0.136143,0.649425,0.696913,0.087311,0.291438,0.00289722,0.0550471
20,0.76878,-0.322454,0.136149,0.645029,0.700524,0.086465,0.292794,0.00289722,0.0579444
21,0.76879,-0.319557,0.136155,0.640608,0.704111,0.0856155,0.294139,0.00289722,0.0608416
22,0.768799,-0.31666,0.136162,0.636164,0.707676,0.0847628,0.295475,0.00289722,0.0637388
23,0.768808,-0.313763,0.136168,0.631696,0.711216,0.0839069,0.296801,0.00289722,0.066636
24,0.768818,-0.310865,0.136175,0.627205,0.714733,0.0830478,0.298117,0.00289722,0.0695332
25,0.768827,-0.307968,0.136181,0.622691,0.718225,0.0821857,0.299423,0.00289722,0.0724305
26,0.768837,-0.305071,0.136188,0.618155,0.721692,0.0813207,0.300718,0.00289722,0.0753277
27,0.768846,-0.302174,0.136194,0.613598,0.725134,0.0804529,0.302003,0.00289722,0.0782249
28,0.768855,-0.299277,0.136201,0.609019,0.72855,0.0795822,0.303277,0.00289722,0.0811221
29,0.768865,-0.29638,0.136207,0.60442,0.73194,0.0787089,0.304541,0.00289722,0.0840193
30,0.768874,-0.293482,0.136213,0.599801,0.735304,0.0778331,0.305793,0.00289722,0.0869165
31,0.768883,-0.290585,0.13622,0.595161,0.738641,0.0769548,0.307034,0.00289722,0.0898138
32,0.768893,-0.287688,0.136226,0.590503,0.741951,0.076074,0.308264,0.00289722,0.092711
33,0.768902,-0.284791,0.136233,0.585826,0.745234,0.075191,0.309483,0.00289722,0.0956082
34,0.768911,-0.281894,0.136239,0.581131,0.74849,0.0743058,0.310691,0.00289722,0.0985054
35,0.768921,-0.278996,0.136246,0.576418,0.751717,0.0734185,0.311887,0.00289722,0.101403
36,0.76893,-0.276099,0.136252,0.571688,0.754916,0.0725293,0.313071,0.00289722,0.1043
37,0.76894,-0.273202,0.136258,0.566942,0.758087,0.0716381,0.314244,0.00289722,0.107197
38,0.768949,-0.270305,0.136265,0.562179,0.761229,0.0707451,0.315405,0.00289722,0.110094
39,0.768958,-0.267408,0.136271,0.557401,0.764342,0.0698504,0.316554,0.00289722,0.112992
40,0.768968,-0.26451,0.136278,0.552609,0.767425,0.0689541,0.317691,0.00289722,0.115889
41,0.768977,-0.261613,0.136284,0.547801,0.77048,0.0680562,0.318816,0.00289722,0.118786
42,0.768986,-0.258716,0.136291,0.54298,0.773504,0.067157,0.319928,0.00289722,0.121683
43,0.768996,-0.255819,0.136297,0.538145,0.776499,0.0662565,0.321029,0.00289722,0.12458
44,0.769005,-0.252922,0.136304,0.533298,0.779463,0.0653547,0.322117,0.00289722,0.127478
45,0.769014,-0.250024,0.13631,0.528439,0.782397,0.0644519,0.323193,0.00289722,0.130375
46,0.769024,-0.247127,0.136316,0.523567,0.7853,0.063548,0.324256,0.00289722,0.133272
47,0.769033,-0.24423,0.136323,0.518685,0.788173,0.0626432,0.325307,0.00289722,0.136169
48,0.769043,-0.241333,0.136329,0.513792,0.791015,0.0617376,0.326345,0.00289722,0.139066
49,0.769052,-0.238436,0.136336,0.50889,0.793826,0.0608313,0.327371,0.00289722,0.141964
50,0.769061,-0.235538,0.136342,0.503977,0.796605,0.0599243,0.328384,0.00289722,0.144861
51,0.769071,-0.232641,0.136349,0.499056,0.799353,0.0590169,0.329384,0.00289722,0.147758
52,0.76908,-0.229744,0.136355,0.494127,0.80207,0.058109,0.330372,0.00289722,0.150655
53,0.76908,-0.226833,0.136355,0.489265,0.804715,0.0571695,0.331338,0.0029105,0.153566
54,0.76908,-0.223923,0.136355,0.484379,0.807339,0.0562266,0.332294,0.0029105,0.156476
55,0.76908,-0.221013,0.136355,0.479469,0.809941,0.0552803,0.333241,0.0029105,0.159387
56,0.76908,-0.218102,0.136355,0.474536,0.81252,0.0543308,0.334179,0.0029105,0.162297
57,0.76908,-0.215192,0.136355,0.46958,0.815076,0.0533781,0.335107,0.0029105,0.165208
58,0.76908,-0.212281,0.136355,0.464602,0.817609,0.0524223,0.336025,0.0029105,0.168118
59,0.76908,-0.209371,0.136355,0.459602,0.820118,0.0514635,0.336934,0.0029105,0.171029
60,0.76908,-0.20646,0.136355,0.45458,0.822603,0.0505018,0.337832,0.0029105,0.173939
61,0.76908,-0.203549,0.136355,0.449537,0.825064,0.0495373,0.338721,0.0029105,0.17685
62,0.76908,-0.200639,0.136355,0.444473,0.8275,0.0485699,0.339599,0.0029105,0.17976
63,0.76908,-0.197729,0.136355,0.439389,0.829912,0.0476,0.340467,0.0029105,0.182671
64,0.76908,-0.194818,0.136355,0.434286,0.832298,0.0466274,0.341324,0.0029105,0.185581
65,0.76908,-0.191908,0.136355,0.429163,0.834658,0.0456524,0.342171,0.0029105,0.188492
66,0.76908,-0.188997,0.136355,0.424021,0.836993,0.044675,0.343007,0.0029105,0.191402
67,0.76908,-0.186086,0.136355,0.41886,0.839301,0.0436953,0.343832,0.0029105,0.194313
68,0.76908,-0.183176,0.136355,0.413682,0.841583,0.0427134,0.344646,0.0029105,0.197223
69,0.76908,-0.180265,0.136355,0.408486,0.843838,0.0417294,0.345449,0.0029105,0.200134
70,0.76908,-0.177355,0.136355,0.403273,0.846066,0.0407434,0.346241,0.0029105,0.203044
71,0.76908,-0.174445,0.136355,0.398044,0.848267,0.0397555,0.347021,0.0029105,0.205955
72,0.76908,-0.171534,0.136355,0.392799,0.85044,0.0387658,0.347791,0.0029105,0.208865
73,0.76908,-0.168624,0.136355,0.387539,0.852585,0.0377743,0.348548,0.0029105,0.211776
74,0.76908,-0.165713,0.136355,0.382263,0.854702,0.0367813,0.349295,0.0029105,0.214686
