index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-2.94226,1.69375,-1.26081,0.506786,2.25763,-1.43683,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-2.94327,1.69646,-1.26581,0.50735,2.25802,-1.43434,-0.0200588,0.0541458,-0.1,0.0112721,0.00780513,0.0497221,-0.200588,0.541458,-1,0.112721,0.0780513,0.497221
2,0.2,-2.94629,1.7046,-1.28081,0.50898,2.25918,-1.42682,-0.0404301,0.108794,-0.199994,0.0208975,0.0152949,0.101244,-0.205283,0.551022,-0.999988,0.0812744,0.0714262,0.531849
3,0.3,-2.95137,1.71825,-1.30581,0.511414,2.26106,-1.41397,-0.0613286,0.164518,-0.299983,0.0270326,0.0220105,0.156599,-0.21111,0.564777,-0.999926,0.0367658,0.0608596,0.580789
4,0.4,-2.95859,1.73756,-1.34081,0.514211,2.26354,-1.39531,-0.0830439,0.221953,-0.399968,0.0278163,0.0273871,0.217802,-0.218113,0.58578,-0.999846,-0.0285962,0.0421162,0.652473
5,0.5,-2.96676,1.7594,-1.3799,0.516466,2.2661,-1.37352,-0.0729748,0.194821,-0.346252,0.015796,0.0214431,0.197621,0.203905,-0.537984,1.0002,-0.12232,-0.085162,-0.48652
6,0.6,-2.97304,1.77616,-1.40952,0.517541,2.26785,-1.3563,-0.0524391,0.140075,-0.246246,0.00662902,0.0138495,0.14558,0.207635,-0.556012,1.00016,-0.0652581,-0.0679573,-0.549536
7,0.7,-2.97723,1.78736,-1.42915,0.517944,2.26891,-1.34457,-0.0313349,0.083811,-0.14624,0.00208058,0.00761514,0.088488,0.21251,-0.568454,1.0001,-0.0280445,-0.0565544,-0.590094
8,0.8,-2.9793,1.79289,-1.43877,0.518051,2.2694,-1.33871,-0.0099276,0.0265977,-0.0462359,0.000360987,0.00230278,0.0283031,0.214628,-0.57479,1.00003,-0.00927085,-0.0503266,-0.610556
9,0.9,-2.97584,1.79373,-1.44179,0.517282,2.26818,-1.3363,0.0588058,-0.0171717,0.0080885,-0.0110811,-0.0194056,0.00281764,-0.152463,-0.494707,0.999968,0.0631019,0.0724649,-0.662133
10,1,-2.96616,1.78997,-1.43871,0.515517,2.26503,-1.33696,0.146107,-0.0570795,0.0473895,-0.0266128,-0.0476223,-0.0105051,1,-0.390669,0.324348,-0.182146,-0.325941,-0.0718998
11,1.1,-2.94655,1.78231,-1.43235,0.511945,2.25864,-1.33837,0.246107,-0.0961464,0.0798243,-0.0448275,-0.0802164,-0.0176951,1,-0.390669,0.324348,-0.182146,-0.325941,-0.0718998
12,1.2,-2.91694,1.77075,-1.42274,0.506552,2.24899,-1.3405,0.346107,-0.135213,0.112259,-0.0630421,-0.11281,-0.024885,1,-0.390669,0.324348,-0.182146,-0.325941,-0.0718998
13,1.3,-2.87733,1.75527,-1.40989,0.499337,2.23607,-1.34335,0.446107,-0.17428,0.144694,-0.0812567,-0.145405,-0.032075,1,-0.390669,0.324348,-0.182146,-0.325941,-0.0718998
14,1.4,-2.82772,1.73589,-1.3938,0.490301,2.2199,-1.34692,0.546107,-0.213347,0.177129,-0.0994713,-0.177999,-0.039265,1,-0.390669,0.324348,-0.182146,-0.325941,-0.0718998
