index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.76987,-0.381132,0.136519,0.723929,0.627796,0.107821,0.264902,0,0
1,0.769854,-0.378221,0.136516,0.720121,0.631684,0.106955,0.266387,0.00291135,0.00291135
2,0.769839,-0.37531,0.136513,0.716283,0.635557,0.106085,0.267866,0.00291135,0.00582271
3,0.769824,-0.372398,0.13651,0.712415,0.639416,0.10521,0.269339,0.00291135,0.00873406
4,0.769809,-0.369487,0.136507,0.708518,0.643259,0.10433,0.270805,0.00291135,0.0116454
5,0.769794,-0.366576,0.136503,0.704592,0.647087,0.103446,0.272264,0.00291135,0.0145568
6,0.769778,-0.363664,0.1365,0.700637,0.650899,0.102556,0.273716,0.00291135,0.0174681
7,0.769763,-0.360753,0.136497,0.696653,0.654695,0.101663,0.275161,0.00291135,0.0203795
8,0.769748,-0.357842,0.136494,0.692642,0.658474,0.100764,0.276599,0.00291135,0.0232908
9,0.769733,-0.35493,0.136491,0.688602,0.662235,0.0998614,0.278029,0.00291135,0.0262022
10,0.769718,-0.352019,0.136488,0.684535,0.665978,0.0989542,0.279451,0.00291135,0.0291135
11,0.769703,-0.349108,0.136485,0.68044,0.669704,0.0980428,0.280866,0.00291135,0.0320249
12,0.769687,-0.346196,0.136481,0.676318,0.67341,0.0971271,0.282273,0.00291135,0.0349362
13,0.769672,-0.343285,0.136478,0.67217,0.677098,0.0962073,0.283672,0.00291135,0.0378476
14,0.769657,-0.340374,0.136475,0.667996,0.680766,0.0952835,0.285062,0.00291135,0.0407589
15,0.769642,-0.337463,0.136472,0.663795,0.684414,0.0943556,0.286444,0.00291135,0.0436703
16,0.769627,-0.334551,0.136469,0.65957,0.688042,0.0934239,0.287817,0.00291135,0.0465816
17,0.769611,-0.33164,0.136466,0.655318,0.691648,0.0924885,0.289182,0.00291135,0.049493
18,0.769596,-0.328729,0.136462,0.651043,0.695234,0.0915493,0.290537,0.00291135,0.0524044
19,0.769581,-0.325817,0.136459,0.646742,0.698798,0.0906065,0.291884,0.00291135,0.0553157
20,0.769566,-0.322906,0.136456,0.642418,0.70234,0.0896602,0.293221,0.00291135,0.0582271
21,0.769551,-0.319995,0.136453,0.63807,0.70586,0.0887104,0.294548,0.00291135,0.0611384
22,0.769536,-0.317083,0.13645,0.633699,0.709357,0.0877573,0.295867,0.00291135,0.0640498
23,0.76952,-0.314172,0.136447,0.629306,0.71283,0.086801,0.297175,0.00291135,0.0669611
24,0.769505,-0.311261,0.136443,0.62489,0.71628,0.0858415,0.298474,0.00291135,0.0698725
25,0.76949,-0.308349,0.13644,0.620452,0.719707,0.084879,0.299762,0.00291135,0.0727838
26,0.769475,-0.305438,0.136437,0.615993,0.723109,0.0839135,0.301041,0.00291135,0.0756952
27,0.76946,-0.302527,0.136434,0.611512,0.726486,0.0829452,0.302309,0.00291135,0.0786065
28,0.769444,-0.299615,0.136431,0.607012,0.729838,0.0819741,0.303567,0.00291135,0.0815179
29,0.769429,-0.296704,0.136428,0.602491,0.733166,0.0810003,0.304814,0.00291135,0.0844292
30,0.769414,-0.293793,0.136425,0.597951,0.736467,0.080024,0.306051,0.00291135,0.0873406
31,0.769399,-0.290882,0.136421,0.593391,0.739743,0.0790453,0.307277,0.00291135,0.0902519
32,0.769384,-0.28797,0.136418,0.588813,0.742992,0.0780642,0.308492,0.00291135,0.0931633
33,0.769369,-0.285059,0.136415,0.584217,0.746215,0.0770808,0.309697,0.00291135,0.0960746
34,0.769353,-0.282148,0.136412,0.579603,0.749411,0.0760953,0.31089,0.00291135,0.098986
35,0.769338,-0.279236,0.136409,0.574973,0.75258,0.0751078,0.312072,0.00291135,0.101897
36,0.769323,-0.276325,0.136406,0.570325,0.755721,0.0741183,0.313243,0.00291135,0.104809
37,0.769308,-0.273414,0.136402,0.565661,0.758835,0.073127,0.314402,0.00291135,0.10772
38,0.769293,-0.270502,0.136399,0.560982,0.761921,0.0721339,0.31555,0.00291135,0.110631
39,0.769277,-0.267591,0.136396,0.556288,0.764979,0.0711393,0.316686,0.00291135,0.113543
40,0.769262,-0.26468,0.136393,0.551579,0.768008,0.0701431,0.317811,0.00291135,0.116454
41,0.769247,-0.261768,0.13639,0.546856,0.771009,0.0691455,0.318924,0.00291135,0.119365
42,0.769232,-0.258857,0.136387,0.54212,0.773981,0.0681466,0.320025,0.00291135,0.122277
43,0.769217,-0.255946,0.136383,0.53737,0.776924,0.0671465,0.321114,0.00291135,0.125188
44,0.769201,-0.253034,0.13638,0.532608,0.779837,0.0661453,0.322191,0.00291135,0.1281
45,0.769186,-0.250123,0.136377,0.527834,0.782721,0.0651431,0.323257,0.00291135,0.131011
46,0.769171,-0.247212,0.136374,0.523049,0.785576,0.06414,0.32431,0.00291135,0.133922
47,0.769156,-0.244301,0.136371,0.518253,0.7884,0.0631362,0.325351,0.00291135,0.136834
48,0.769141,-0.241389,0.136368,0.513446,0.791195,0.0621317,0.32638,0.00291135,0.139745
49,0.769126,-0.238478,0.136364,0.50863,0.793959,0.0611266,0.327396,0.00291135,0.142656
50,0.76911,-0.235567,0.136361,0.503804,0.796693,0.060121,0.328401,0.00291135,0.145568
51,0.769095,-0.232655,0.136358,0.49897,0.799397,0.0591151,0.329392,0.00291135,0.148479
52,0.76908,-0.229744,0.136355,0.494127,0.80207,0.058109,0.330372,0.00291135,0.15139
53,0.76908,-0.226833,0.136355,0.489265,0.804715,0.0571695,0.331338,0.0029105,0.154301
54,0.76908,-0.223923,0.136355,0.484379,0.807339,0.0562266,0.332294,0.0029105,0.157211
55,0.76908,-0.221013,0.136355,0.479469,0.809941,0.0552803,0.333241,0.0029105,0.160122
56,0.76908,-0.218102,0.136355,0.474536,0.81252,0.0543308,0.334179,0.0029105,0.163032
57,0.76908,-0.215192,0.136355,0.46958,0.815076,0.0533781,0.335107,0.0029105,0.165943
58,0.76908,-0.212281,0.136355,0.464602,0.817609,0.0524223,0.336025,0.0029105,0.168853
59,0.76908,-0.209371,0.136355,0.459602,0.820118,0.0514635,0.336934,0.0029105,0.171764
60,0.76908,-0.20646,0.136355,0.45458,0.822603,0.0505018,0.337832,0.0029105,0.174674
61,0.76908,-0.203549,0.136355,0.449537,0.825064,0.0495373,0.338721,0.0029105,0.177585
62,0.76908,-0.200639,0.136355,0.444473,0.8275,0.0485699,0.339599,0.0029105,0.180495
63,0.76908,-0.197729,0.136355,0.439389,0.829912,0.0476,0.340467,0.0029105,0.183406
64,0.76908,-0.194818,0.136355,0.434286,0.832298,0.0466274,0.341324,0.0029105,0.186316
65,0.76908,-0.191908,0.136355,0.429163,0.834658,0.0456524,0.342171,0.0029105,0.189227
66,0.76908,-0.188997,0.136355,0.424021,0.836993,0.044675,0.343007,0.0029105,0.192137
67,0.76908,-0.186086,0.136355,0.41886,0.839301,0.0436953,0.343832,0.0029105,0.195048
68,0.76908,-0.183176,0.136355,0.413682,0.841583,0.0427134,0.344646,0.0029105,0.197958
69,0.76908,-0.180265,0.136355,0.408486,0.843838,0.0417294,0.345449,0.0029105,0.200869
70,0.76908,-0.177355,0.136355,0.403273,0.846066,0.0407434,0.346241,0.0029105,0.203779
71,0.76908,-0.174445,0.136355,0.398044,0.848267,0.0397555,0.347021,0.0029105,0.20669
72,0.76908,-0.171534,0.136355,0.392799,0.85044,0.0387658,0.347791,0.0029105,0.2096
73,0.76908,-0.168624,0.136355,0.387539,0.852585,0.0377743,0.348548,0.0029105,0.212511
74,0.76908,-0.165713,0.136355,0.382263,0.854702,0.0367813,0.349295,0.0029105,0.215421
75,0.76908,-0.162803,0.136355,0.376974,0.85679,0.0357867,0.350029,0.0029105,0.218332
76,0.76908,-0.159892,0.136355,0.37167,0.85885,0.0347907,0.350752,0.0029105,0.221242
77,0.76908,-0.156981,0.136355,0.366353,0.860881,0.0337934,0.351463,0.0029105,0.224153
78,0.76908,-0.154071,0.136355,0.361023,0.862884,0.0327949,0.352163,0.0029105,0.227063
79,0.76908,-0.15116,0.136355,0.355682,0.864856,0.0317953,0.35285,0.0029105,0.229974
80,0.76908,-0.14825,0.136355,0.350328,0.8668,0.0307947,0.353525,0.0029105,0.232884
81,0.76908,-0.14534,0.136355,0.344963,0.868714,0.0297932,0.354189,0.0029105,0.235795
82,0.76908,-0.142429,0.136355,0.339588,0.870597,0.0287908,0.35484,0.0029105,0.238705
83,0.76908,-0.139518,0.136355,0.334202,0.872451,0.0277878,0.355479,0.0029105,0.241616
84,0.76908,-0.136608,0.136355,0.328808,0.874275,0.0267841,0.356105,0.0029105,0.244526
85,0.76908,-0.133697,0.136355,0.323404,0.876069,0.02578,0.35672,0.0029105,0.247437
86,0.76908,-0.130787,0.136355,0.317992,0.877832,0.0247754,0.357322,0.0029105,0.250347
87,0.76908,-0.127877,0.136355,0.312572,0.879564,0.0237706,0.357912,0.0029105,0.253258
88,0.76908,-0.124966,0.136355,0.307144,0.881266,0.0227656,0.358489,0.0029105,0.256168
89,0.76908,-0.122055,0.136355,0.30171,0.882937,0.0217605,0.359054,0.0029105,0.259079
90,0.76908,-0.119145,0.136355,0.29627,0.884577,0.0207554,0.359606,0.0029105,0.261989
91,0.76908,-0.116234,0.136355,0.290825,0.886186,0.0197504,0.360146,0.0029105,0.2649
92,0.76908,-0.113324,0.136355,0.285374,0.887764,0.0187456,0.360673,0.0029105,0.26781
93,0.76908,-0.110413,0.136355,0.279919,0.889311,0.0177412,0.361188,0.0029105,0.270721
94,0.76908,-0.107503,0.136355,0.274461,0.890826,0.0167372,0.36169,0.0029105,0.273631
95,0.76908,-0.104593,0.136355,0.268999,0.892311,0.0157337,0.362179,0.0029105,0.276542
96,0.76908,-0.101682,0.136355,0.263534,0.893764,0.0147308,0.362656,0.0029105,0.279452
97,0.76908,-0.0987715,0.136355,0.258067,0.895185,0.0137286,0.363121,0.0029105,0.282363
98,0.76908,-0.095861,0.136355,0.252599,0.896575,0.0127273,0.363572,0.0029105,0.285273
99,0.76908,-0.0929505,0.136355,0.247129,0.897934,0.0117269,0.364012,0.0029105,0.288184
100,0.76908,-0.09004,0.136355,0.241659,0.899261,0.0107275,0.364438,0.0029105,0.291094
101,0.76908,-0.0871295,0.136355,0.236189,0.900557,0.00972921,0.364852,0.0029105,0.294005
102,0.76908,-0.084219,0.136355,0.23072,0.901821,0.00873213,0.365254,0.0029105,0.296915
103,0.76908,-0.0813085,0.136355,0.225252,0.903054,0.00773637,0.365643,0.0029105,0.299826
104,0.76908,-0.078398,0.136355,0.219786,0.904256,0.006742,0.366019,0.0029105,0.302736
105,0.76908,-0.0754875,0.136355,0.214313,0.905428,0.0057474,0.366383,0.0029105,0.305647
106,0.76908,-0.072577,0.136355,0.208823,0.906573,0.00475096,0.366737,0.0029105,0.308557
107,0.76908,-0.0696665,0.136355,0.203318,0.90769,0.00375277,0.367078,0.0029105,0.311468
108,0.76908,-0.066756,0.136355,0.197798,0.908779,0.00275293,0.367409,0.0029105,0.314378
109,0.76908,-0.0638455,0.136355,0.192263,0.90984,0.00175153,0.367727,0.0029105,0.317289
110,0.76908,-0.060935,0.136355,0.186715,0.910872,0.000748663,0.368035,0.0029105,0.320199
111,0.76908,-0.0580245,0.136355,0.181152,0.911876,-0.000255568,0.36833,0.0029105,0.32311
112,0.76908,-0.055114,0.136355,0.175577,0.91285,-0.00126107,0.368613,0.0029105,0.32602
113,0.76908,-0.0522035,0.136355,0.169989,0.913796,-0.00226774,0.368885,0.0029105,0.328931
114,0.76908,-0.049293,0.136355,0.164388,0.914712,-0.00327549,0.369145,0.0029105,0.331841
115,0.76908,-0.0463825,0.136355,0.158777,0.915599,-0.00428421,0.369392,0.0029105,0.334752
116,0.76908,-0.043472,0.136355,0.153154,0.916456,-0.00529381,0.369628,0.0029105,0.337662
117,0.76908,-0.0405615,0.136355,0.147521,0.917283,-0.00630419,0.369851,0.0029105,0.340573
118,0.76908,-0.037651,0.136355,0.141878,0.91808,-0.00731524,0.370062,0.0029105,0.343483
119,0.76908,-0.0347405,0.136355,0.136226,0.918847,-0.00832686,0.370261,0.0029105,0.346394
120,0.76908,-0.03183,0.136355,0.130565,0.919584,-0.00933895,0.370448,0.0029105,0.349304
121,0.76908,-0.0289195,0.136355,0.124896,0.92029,-0.0103514,0.370622,0.0029105,0.352215
122,0.76908,-0.026009,0.136355,0.119219,0.920965,-0.0113641,0.370784,0.0029105,0.355125
123,0.76908,-0.0230985,0.136355,0.113535,0.92161,-0.012377,0.370933,0.0029105,0.358036
