index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.76924,-0.381005,0.135419,0.722111,0.632512,0.104116,0.260084,0,0
1,0.769237,-0.378096,0.135437,0.718322,0.6363,0.103316,0.261652,0.00290891,0.00290891
2,0.769234,-0.375187,0.135455,0.714503,0.640073,0.102513,0.263215,0.00290891,0.00581783
3,0.769231,-0.372278,0.135473,0.710656,0.643832,0.101704,0.264772,0.00290891,0.00872674
4,0.769228,-0.369369,0.135491,0.70678,0.647576,0.100891,0.266322,0.00290891,0.0116357
5,0.769225,-0.36646,0.135509,0.702876,0.651305,0.100074,0.267866,0.00290891,0.0145446
6,0.769222,-0.363551,0.135527,0.698944,0.655018,0.0992527,0.269404,0.00290891,0.0174535
7,0.769219,-0.360643,0.135545,0.694984,0.658714,0.0984269,0.270935,0.00290891,0.0203624
8,0.769215,-0.357734,0.135563,0.690996,0.662394,0.0975969,0.272459,0.00290891,0.0232713
9,0.769212,-0.354825,0.135581,0.686982,0.666056,0.0967626,0.273976,0.00290891,0.0261802
10,0.769209,-0.351916,0.135599,0.68294,0.669701,0.0959243,0.275486,0.00290891,0.0290891
11,0.769206,-0.349007,0.135617,0.678872,0.673328,0.095082,0.276988,0.00290891,0.0319981
12,0.769203,-0.346098,0.135635,0.674778,0.676936,0.0942358,0.278483,0.00290891,0.034907
13,0.7692,-0.343189,0.135653,0.670657,0.680525,0.0933856,0.27997,0.00290891,0.0378159
14,0.769197,-0.340281,0.135671,0.666512,0.684096,0.0925317,0.281449,0.00290891,0.0407248
15,0.769194,-0.337372,0.135689,0.662341,0.687646,0.0916741,0.28292,0.00290891,0.0436337
16,0.769191,-0.334463,0.135707,0.658145,0.691177,0.0908128,0.284383,0.00290891,0.0465426
17,0.769188,-0.331554,0.135725,0.653924,0.694687,0.0899479,0.285837,0.00290891,0.0494515
18,0.769185,-0.328645,0.135743,0.64968,0.698176,0.0890796,0.287283,0.00290891,0.0523605
19,0.769182,-0.325736,0.135761,0.645412,0.701644,0.0882078,0.28872,0.00290891,0.0552694
20,0.769179,-0.322827,0.135779,0.64112,0.70509,0.0873327,0.290148,0.00290891,0.0581783
21,0.769175,-0.319919,0.135797,0.636806,0.708514,0.0864544,0.291567,0.00290891,0.0610872
22,0.769172,-0.31701,0.135815,0.632469,0.711916,0.085573,0.292977,0.00290891,0.0639961
